Title,year,SJR,h-index,avg_citations
Brookings Papers on Economic Activity,1999,16.673,70,4.62
Quarterly Journal of Economics,1999,16.278,219,5.25
Econometrica,1999,11.873,158,2.57
Journal of Economic Growth,1999,11.491,72,1.56
Journal of Political Economy,1999,11.201,159,2.95
Journal of Economic Literature,1999,10.402,140,6.41
Journal of Financial Economics,1999,9.621,206,3.6
Journal of Finance,1999,9.553,249,3.94
Review of Economic Studies,1999,7.939,118,1.87
Journal of Economic Perspectives,1999,7.823,162,4.27
Review of Financial Studies,1999,6.273,145,1.94
American Economic Review,1999,6.146,237,1.93
Journal of Economic Theory,1999,4.79,84,0.95
Economic Policy,1999,4.762,63,2.04
Accounting Review,1999,4.503,125,2.49
Journal of Labor Economics,1999,4.5,90,1.79
Journal of Marketing,1999,4.418,208,3.57
Journal of Financial and Quantitative Analysis,1999,4.38,97,1.22
RAND Journal of Economics,1999,4.275,92,1.26
Journal of Consumer Research,1999,4.116,146,3.0
Journal of Accounting and Economics,1999,4.031,122,2.44
Journal of Monetary Economics,1999,4.002,107,1.38
Journal of Human Resources,1999,3.948,86,1.47
Journal of Business,1999,3.853,81,1.64
Journal of Accounting Research,1999,3.812,113,1.69
Journal of International Economics,1999,3.812,113,1.43
World Bank Economic Review,1999,3.747,77,1.62
Games and Economic Behavior,1999,3.728,79,0.76
Marketing Science,1999,3.514,108,2.0
Review of Economics and Statistics,1999,3.436,134,1.15
Economic Theory,1999,3.39,49,0.53
Journal of Marketing Research,1999,3.38,141,2.62
Journal of Econometrics,1999,3.314,127,0.93
International Economic Review,1999,3.291,74,1.0
Harvard Business Review,1999,3.192,154,3.85
Post-Soviet Affairs,1999,2.851,36,1.93
Journal of Financial Intermediation,1999,2.843,63,0.7
Conflict Management and Peace Science,1999,2.801,32,0.67
European Economic Review,1999,2.772,110,1.16
Economic Journal,1999,2.698,134,1.51
Contemporary Accounting Research,1999,2.648,77,1.21
Journal of Public Economics,1999,2.566,115,0.85
Journal of Economics and Management Strategy,1999,2.558,58,0.9
"Journal of Money, Credit and Banking",1999,2.533,91,1.46
Journal of Management,1999,2.364,176,1.62
Mathematical Finance,1999,2.329,65,1.66
Social Choice and Welfare,1999,2.328,42,0.54
Journal of Mathematical Economics,1999,2.272,35,0.33
New England Economic Review,1999,2.267,21,0.82
Journal of Development of Economics,1999,2.257,115,0.63
Journal of Environmental Economics and Management,1999,2.064,101,1.56
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",1999,2.019,67,0.89
Journal of Law and Economics,1999,1.991,71,0.84
Journal of Economic Dynamics and Control,1999,1.928,75,0.9
Journal of Business and Economic Statistics,1999,1.919,80,0.86
Econometric Theory,1999,1.885,58,0.41
Journal of Industrial Economics,1999,1.882,67,1.0
Energy Journal,1999,1.814,64,1.21
Economic Development and Cultural Change,1999,1.781,59,1.13
Journal of Population Economics,1999,1.768,63,0.73
Financial Management,1999,1.76,56,1.73
World Bank Research Observer,1999,1.701,55,1.0
Journal of Common Market Studies,1999,1.672,76,1.22
Economic Geography,1999,1.648,71,1.13
Scandinavian Actuarial Journal,1999,1.638,30,0.89
Journal of International Business Studies,1999,1.627,156,1.67
Labour Economics,1999,1.595,60,0.48
National Tax Journal,1999,1.571,49,0.65
World Development,1999,1.529,140,1.09
International Journal of Game Theory,1999,1.521,37,0.36
Journal of Productivity Analysis,1999,1.512,61,0.67
Journal of Corporate Finance,1999,1.491,77,0.68
Journal of Financial Markets,1999,1.489,49,0.92
Economic Inquiry,1999,1.484,61,0.76
International Tax and Public Finance,1999,1.461,43,0.61
Land Economics,1999,1.452,73,1.16
ASTIN Bulletin,1999,1.43,35,0.51
Journal of Comparative Economics,1999,1.403,69,1.01
Journal of Urban Economics,1999,1.387,89,1.11
Journal of Financial Research,1999,1.345,41,0.85
Journal of Applied Econometrics,1999,1.337,81,0.76
Insurance: Mathematics and Economics,1999,1.268,62,0.99
Oxford Economic Papers,1999,1.264,60,0.93
Scandinavian Journal of Economics,1999,1.251,55,0.71
Economica,1999,1.232,54,0.45
Journal of Economic Surveys,1999,1.221,76,0.65
"Journal of Law, Economics, and Organization",1999,1.181,60,0.92
Journal of Economic History,1999,1.164,50,0.59
Journal of the Japanese and International Economies,1999,1.154,34,0.27
Economics of Transition,1999,1.153,44,0.87
Eurasian Geography and Economics,1999,1.151,36,1.07
Macroeconomic Dynamics,1999,1.137,39,0.69
Journal of the Academy of Marketing Science,1999,1.128,139,1.79
Journal of Economic Education,1999,1.111,41,0.58
Oxford Review of Economic Policy,1999,1.11,73,1.14
Oxford Bulletin of Economics and Statistics,1999,1.071,61,0.68
Journal of African Economies,1999,1.07,37,0.58
"Work, Employment and Society",1999,1.046,64,0.96
Ecological Economics,1999,1.042,161,1.08
Journal of Transport Economics and Policy,1999,1.016,46,0.39
Energy Economics,1999,1.014,109,0.64
American Journal of Agricultural Economics,1999,1.013,90,0.65
Japanese Economic Review,1999,1.011,22,0.2
Review of International Political Economy,1999,0.993,56,1.7
Review of Economic Design,1999,0.988,21,0.18
Review of Derivatives Research,1999,0.987,24,0.5
Journal of Empirical Finance,1999,0.979,63,0.85
Journal of Risk and Uncertainty,1999,0.975,62,1.25
Journal of Economic Behavior and Organization,1999,0.973,94,0.56
Europe-Asia Studies,1999,0.97,47,0.59
Marketing Letters,1999,0.946,55,0.63
Asian-Pacific Economic Literature,1999,0.943,18,1.13
Journal of Regulatory Economics,1999,0.933,48,0.44
Regional Science and Urban Economics,1999,0.912,63,0.49
Journal of International Money and Finance,1999,0.907,77,0.76
Review of Income and Wealth,1999,0.902,47,0.47
Journal of Agricultural and Resource Economics,1999,0.891,40,0.56
Journal of Real Estate Finance and Economics,1999,0.843,53,0.66
Journal of Derivatives,1999,0.837,39,0.85
Journal of Portfolio Management,1999,0.822,42,0.56
Real Estate Economics,1999,0.82,52,0.53
Financial Analysts Journal,1999,0.801,66,0.43
Science Technology and Human Values,1999,0.799,61,1.32
Economics Letters,1999,0.798,77,0.29
Journal of Banking and Finance,1999,0.795,126,0.8
Industrial and Corporate Change,1999,0.784,92,0.72
Resources and Energy Economics,1999,0.781,57,0.72
Business Ethics Quarterly,1999,0.777,57,0.5
"Accounting, Auditing and Accountability Journal",1999,0.766,76,0.85
Canadian Journal of Economics,1999,0.759,58,0.45
Food Policy,1999,0.733,76,0.38
Structural Equation Modeling,1999,0.722,79,0.52
Journal of Evolutionary Economics,1999,0.719,61,0.58
Economic Record,1999,0.711,37,0.54
Explorations in Economic History,1999,0.697,36,0.38
Post-Communist Economies,1999,0.693,22,0.79
Economics and Philosophy,1999,0.687,32,0.54
Review of Industrial Organization,1999,0.684,49,0.49
International Review of Law and Economics,1999,0.679,37,0.42
Journal of Industrial Ecology,1999,0.679,80,1.04
Information Economics and Policy,1999,0.661,43,0.5
Journal of World Business,1999,0.652,87,1.02
Economy and Society,1999,0.648,78,0.61
Review of World Economics,1999,0.639,44,0.54
Tijdschrift voor Economische en Sociale Geografie,1999,0.635,45,0.59
Pacific Economic Review,1999,0.631,27,0.25
Contemporary Economic Policy,1999,0.625,41,0.41
Public Choice,1999,0.62,65,0.4
Journal of Cultural Economics,1999,0.613,34,0.53
Small Business Economics,1999,0.606,98,0.71
International Finance,1999,0.605,34,0.64
Economics of Education Review,1999,0.604,65,0.32
Journal of Public Policy and Marketing,1999,0.6,60,0.72
European Journal of Political Economy,1999,0.595,65,0.57
Journal of Futures Markets,1999,0.591,45,0.44
Review of Economic Dynamics,1999,0.59,52,0.54
Australian Journal of Agricultural and Resource Economics,1999,0.578,41,0.44
Journal of Economic Issues,1999,0.568,36,0.49
Journal of Agricultural Economics,1999,0.563,50,0.63
World Economy,1999,0.561,58,0.59
Marine Policy,1999,0.551,73,0.69
Environmental and Resource Economics,1999,0.545,77,0.62
Zeitschrift für Wirtschaftsgeographie,1999,0.539,14,0.21
China Economic Review,1999,0.538,56,0.36
Critical Perspectives on Accounting,1999,0.535,52,0.3
Research in Transportation Economics,1999,0.532,30,0.0
International Journal of Business Communication,1999,0.529,44,0.78
Kyklos,1999,0.526,51,0.56
