Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;25615;International Journal of Oral and Maxillofacial Implants;journal;08822786;1.365;Q1;126;100;293;2892;507;283;1.3;28.92;United States;Quintessence Publishing Company;1986-ongoing;"Medicine (miscellaneous) (Q1); Oral Surgery (Q1)"
2;24408;Clinical Oral Implants Research;journal;16000501, 09057161;1.219;Q1;145;53;161;697;260;161;1.24;13.15;United Kingdom;Blackwell Publishing Inc.;1990-ongoing;Oral Surgery (Q1)
3;24428;Critical Reviews in Oral Biology and Medicine;journal;15441113, 10454411;1.202;Q1;100;28;72;3355;246;71;3.52;119.82;United States;International and American Associations for Dental Research;1990-2004;"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Otorhinolaryngology (Q1)"
4;24388;Caries Research;journal;00086568, 1421976X;1.174;Q1;87;60;189;1681;276;186;1.36;28.02;Switzerland;S. Karger AG;1967-ongoing;Dentistry (miscellaneous) (Q1)
5;25637;International Journal of Prosthodontics;journal;11399791, 08932174;1.101;Q1;88;72;221;2029;152;201;0.77;28.18;United States;Quintessence Publishing Company;1988-ongoing;"Medicine (miscellaneous) (Q1); Oral Surgery (Q1)"
6;24413;Community Dentistry and Oral Epidemiology;journal;03015661;1.084;Q1;91;61;239;1951;303;234;1.33;31.98;United Kingdom;Blackwell Publishing Inc.;1973-ongoing;"Dentistry (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
7;23805;American Journal of Dentistry;journal;08948275;1.072;Q1;71;67;195;1775;320;195;1.22;26.49;United States;Mosher & Linder, Inc.;1988-ongoing;"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
8;25684;Journal of Dental Research;journal;00220345;1.044;Q1;158;140;476;4591;843;428;1.81;32.79;United States;SAGE Publications;1919-1924, 1927-1935, 1937-ongoing;Dentistry (miscellaneous) (Q1)
9;25610;International Endodontic Journal;journal;13652591, 01432885;0.974;Q1;107;63;162;2093;150;162;0.96;33.22;United Kingdom;Blackwell Publishing Inc.;1967-1972, 1974-ongoing;Dentistry (miscellaneous) (Q1)
10;25669;Journal of Clinical Periodontology;journal;1600051X, 03036979;0.905;Q1;132;130;451;3996;815;449;1.8;30.74;United Kingdom;Blackwell Publishing Inc.;1974-ongoing;Periodontics (Q1)
