Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2000);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;MMWR Recommendations and Reports;journal;10575987, 15458601;11.556;Q1;148;22;53;73;1014;53;20.71;3.32;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;16036;Administrative Science Quarterly;journal;00018392, 19303815;8.758;Q1;191;24;75;1957;434;75;4.12;81.54;United States;Northern America;Johnson School at Cornell University;1975-1987, 1989-1990, 1993-1994, 1996-2021;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
3;39139;International Organization;journal;15315088, 00208183;6.892;Q1;151;28;82;2504;345;81;3.81;89.43;United Kingdom;Western Europe;Cambridge University Press;1947-2021;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
4;71056;MMWR Surveillance Summaries;journal;15458636, 15460738;5.494;Q1;104;14;16;0;89;16;4.67;0;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
5;25725;World Politics;journal;00438871, 10863338;4.941;Q1;114;19;59;1655;270;59;3.95;87.11;United Kingdom;Western Europe;Cambridge University Press;1948-2021;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
6;16929;American Sociological Review;journal;00031224, 19398271;4.597;Q1;208;41;155;2768;585;155;3.23;67.51;United States;Northern America;American Sociological Association;1965-2021;Sociology and Political Science (Q1)
7;16926;American Journal of Sociology;journal;00029602, 15375390;4.481;Q1;191;42;102;2785;391;102;3.21;66.31;United States;Northern America;University of Chicago;1946-1950, 1964-2021;Sociology and Political Science (Q1)
8;30039;Journal of Personality and Social Psychology;journal;00223514;4.262;Q1;392;149;585;9471;2387;585;3.65;63.56;United States;Northern America;American Psychological Association;1965-2021;"Social Psychology (Q1); Sociology and Political Science (Q1)"
9;110092;Morbidity and Mortality Weekly Report;journal;01492195, 1545861X;4.058;Q1;228;208;630;1285;2843;628;4.59;6.18;United States;Northern America;Department of Health and Human Services;1981-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
10;16055;Reading Research Quarterly;journal;00340553;3.784;Q1;96;25;57;1677;158;57;2.95;67.08;United States;Northern America;Wiley-Blackwell;1996-2021;"Developmental and Educational Psychology (Q1); Education (Q1)"
11;19700180549;Handbook of Population and Family Economics;book series;1574003X;3.773;Q1;19;0;25;0;36;20;0;0;Netherlands;Western Europe;Elsevier;1997;"Demography (Q1); Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)"
12;5800194481;Educational Researcher;journal;0013189X;3.677;Q1;133;40;148;1330;402;99;2.71;33.25;United States;Northern America;SAGE Publications Inc.;1972-2021;Education (Q1)
13;15555;American Journal of Political Science;journal;00925853, 15405907;3.656;Q1;180;56;163;2350;352;163;1.88;41.96;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1982, 1986, 1996-2021;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
14;58530;National Vital Statistics Reports;journal;15518922, 15518930;3.601;Q1;110;16;44;0;231;44;5.81;0;United States;Northern America;Public Health Services, US Dept of Health and Human Services;1998-2021;Life-span and Life-course Studies (Q1)
15;22899;Journal of Consumer Research;journal;00935301, 15375277;3.445;Q1;194;36;82;1789;224;82;2.62;49.69;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
16;15499;Journal of Experimental Social Psychology;journal;00221031, 10960465;3.422;Q1;151;32;80;1398;216;80;1.79;43.69;United States;Northern America;Academic Press Inc.;1965-2022;"Social Psychology (Q1); Sociology and Political Science (Q1)"
17;16514;Review of Research in Education;journal;0091732X, 19351038;3.237;Q1;61;7;29;1082;90;29;3;154.57;United States;Northern America;SAGE Publications Inc.;1973-1981, 1983-1988, 1990-2000, 2002-2021;Education (Q1)
18;19726;Educational Evaluation and Policy Analysis;journal;01623737, 19351062;3.194;Q1;84;17;60;697;100;60;1.32;41;United States;Northern America;SAGE Publications Inc.;1979-1982, 1996-2021;Education (Q1)
19;25835;International Security;journal;15314804, 01622889;3.19;Q1;113;21;73;2992;168;73;2.53;142.48;United States;Northern America;MIT Press Journals;1984, 1996-2021;"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
20;15482;Journal of Experimental Psychology: Learning Memory and Cognition;journal;19391285, 02787393;3.126;Q1;164;103;267;5344;889;267;2.9;51.88;United States;Northern America;American Psychological Association;1975, 1982-2021;"Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1)"
21;15557;American Political Science Review;journal;15375943, 00030554;3.112;Q1;182;46;161;2383;377;160;2.14;51.8;United Kingdom;Western Europe;Cambridge University Press;1906-2021;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
22;12872;Cognitive Psychology;journal;10955623, 00100285;3.109;Q1;123;17;63;1294;276;63;3.61;76.12;United States;Northern America;Academic Press Inc.;1970-2021;"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
23;15574;Information Systems Research;journal;15265536, 10477047;2.976;Q1;168;24;64;1256;145;64;1.93;52.33;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1990-2021;"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)"
24;22478;Journal of Memory and Language;journal;10960821, 0749596X;2.933;Q1;156;60;160;2830;475;160;2.72;47.17;United States;Northern America;Academic Press Inc.;1985-2021;"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
25;19684;Criminology;journal;17459125, 00111384;2.873;Q1;147;43;89;2449;256;89;2.48;56.95;United States;Northern America;Wiley-Blackwell;1963-2021;"Law (Q1); Pathology and Forensic Medicine (Q1)"
26;14547;Social Choice and Welfare;journal;01761714, 1432217X;2.829;Q1;54;43;104;1018;81;104;0.77;23.67;United States;Northern America;Springer New York;1984-2021;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
27;21100787818;IEEE International Symposium on Industrial Electronics;conference and proceedings;-;2.823;-;12;0;1;0;1;1;1;0;United States;Northern America;;;"Communication; Computer Networks and Communications; Information Systems; Information Systems and Management; Sociology and Political Science"
28;29425;Harvard Educational Review;journal;00178055;2.754;Q1;85;18;43;912;101;43;1.33;50.67;United States;Northern America;Harvard University;1979, 1989, 1996-2017;Education (Q1)
29;27663;Journal of Conflict Resolution;journal;00220027;2.723;Q1;113;42;117;1703;181;117;1.06;40.55;United States;Northern America;SAGE Publications Inc.;1957-2021;"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
30;24204;Review of Economics and Statistics;journal;00346535, 15309142;2.656;Q1;177;53;189;1608;256;189;1.22;30.34;United States;Northern America;MIT Press Journals;1978-2021;"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
31;25654;Post-Soviet Affairs;journal;1060586X;2.609;Q1;47;12;49;528;85;49;1.46;44;United Kingdom;Western Europe;Taylor and Francis Ltd.;1992-2021;"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
32;29214;Transactions of the Institute of British Geographers;journal;00202754, 14755661;2.476;Q1;114;28;85;1877;237;85;2.55;67.04;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1976-2021;"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)"
33;24664;Foreign Affairs;journal;00157120;2.457;Q1;99;4;42;3;160;42;4.29;0.75;United States;Northern America;Council on Foreign Relations, Inc.;1965, 1974, 1977-1981, 1985, 1989, 1991-1992, 1996-2019;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
34;16976;Annual Review of Sociology;book series;03600572, 15452115;2.395;Q1;186;33;68;419;250;68;3.15;12.7;United States;Northern America;Annual Reviews Inc.;1975, 1977, 1980-1981, 1983-2021;Sociology and Political Science (Q1)
