Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2001);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;11.210999999999999;Q1;609;142;335;37719;7707;333;21.28;265,63;United States;American Chemical Society;1924-ongoing;Chemistry (miscellaneous) (Q1)
2;26556;Catalysis Reviews - Science and Engineering;journal;01614940;9.22;Q1;93;18;26;1803;275;26;9.88;100,17;United States;Marcel Dekker Inc.;1979-1980, 1988, 1990-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
3;22657;Accounts of Chemical Research;journal;00014842, 15204898;7.165;Q1;354;107;317;5686;4401;305;13.25;53,14;United States;American Chemical Society;1968-ongoing;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
4;26555;Annual Review of Physical Chemistry;book series;0066426X, 15451593;6.665;Q1;151;26;63;3808;638;63;8.09;146,46;United States;Annual Reviews Inc.;1975, 1983, 1985, 1988-ongoing;Physical and Theoretical Chemistry (Q1)
5;25306;Progress in Inorganic Chemistry;book series;00796379;6.6610000000000005;Q1;48;14;8;3029;100;8;0.00;216,36;United States;John Wiley and Sons Inc.;1996-1998, 2001-2005, 2007, 2009, 2011;Inorganic Chemistry (Q1)
6;23350;Chemical Society Reviews;journal;03060012, 14604744;5.507999999999999;Q1;432;38;129;1595;1496;129;9.19;41,97;United Kingdom;Royal Society of Chemistry;1972-ongoing;Chemistry (miscellaneous) (Q1)
7;26554;Advances in Physical Organic Chemistry;book series;00653160;5.312;Q1;28;6;15;986;88;12;7.33;164,33;United States;Elsevier Inc.;1963-1971, 1973, 1975-1978, 1981-1985, 1987-1989, 1991, 1993-1995, 1999-2007, 2009-ongoing;"Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
8;25760;Advances in Organometallic Chemistry;book series;00653055;5.0360000000000005;Q1;48;10;23;1997;206;22;5.45;199,70;United States;Elsevier Inc.;1964-1977, 1979-1987, 1989-1993, 1995-2001, 2003-2008, 2010-ongoing;Organic Chemistry (Q1)
9;12229;Mass Spectrometry Reviews;journal;10982787, 02777037;4.428999999999999;Q1;116;19;35;1088;303;35;8.96;57,26;United States;John Wiley & Sons Inc.;1982-ongoing;"Analytical Chemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Condensed Matter Physics (Q1); Spectroscopy (Q1)"
10;25781;Aldrichimica Acta;journal;00025100;4.067;Q1;57;7;18;689;125;18;8.08;98,43;United States;Aldrich Chemical Co.;1990-ongoing;Organic Chemistry (Q1)
11;31446;Catalysis reviews;journal;03602451;3.846;Q1;0;0;0;0;0;0;0.00;0,00;United States;Dekker;1980-1991;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
12;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;3.7880000000000003;Q1;482;1062;2608;43709;16112;2572;6.08;41,16;United Kingdom;John Wiley & Sons Ltd.;1962-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
13;26465;Progress in Polymer Science;journal;00796700;3.588;Q1;244;43;95;7847;503;95;3.87;182,49;Netherlands;Elsevier BV;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-ongoing;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
14;22680;Journal of the American Chemical Society;journal;15205126, 00027863;3.5060000000000002;Q1;542;2362;6723;101600;41353;4446;9.65;43,01;United States;American Chemical Society;1879-ongoing;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
15;17399;Current Opinion in Chemical Biology;journal;13675931;3.323;Q1;170;103;303;4564;2075;288;7.18;44,31;Netherlands;Elsevier BV;1997-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1)"
16;26532;Advances in Catalysis;book series;03600564;3.284;Q1;48;6;25;1661;139;22;5.56;276,83;United States;Elsevier Inc.;1948, 1950-1960, 1962-1963, 1965-1970, 1972-1973, 1975-1977, 1979-1983, 1985-1987, 1989-1990, 1992-1994, 1996, 1998-2002, 2004, 2006-2007, 2009-ongoing;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
17;26927;International Reviews in Physical Chemistry;journal;0144235X, 1366591X;3.259;Q1;74;20;47;2608;227;47;4.78;130,40;United Kingdom;Taylor & Francis;1981-1983, 1985-ongoing;Physical and Theoretical Chemistry (Q1)
18;26960;Advances in Chemical Physics;book series;00652385;3.238;Q1;75;13;93;2156;423;93;4.44;165,85;United States;John Wiley & Sons Inc.;1996-2014;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
19;24085;Progress in Nuclear Magnetic Resonance Spectroscopy;journal;00796565;2.972;Q1;93;16;40;2615;262;40;6.77;163,44;Netherlands;Elsevier BV;1965-1967, 1969-1973, 1975-1982, 1984-ongoing;"Analytical Chemistry (Q1); Biochemistry (Q1); Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Spectroscopy (Q1)"
20;23392;Chemistry - A European Journal;journal;15213765, 09476539;2.872;Q1;220;574;1175;31667;5553;1162;4.83;55,17;United Kingdom;John Wiley & Sons Ltd.;1995-ongoing;Chemistry (miscellaneous) (Q1)
21;21100779404;Macromolecules;journal;00249297, 15205835;2.863;Q1;288;1316;4043;43621;14858;4043;3.49;33,15;United States;American Chemical Society;1968-ongoing;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
22;23470;Coordination Chemistry Reviews;journal;00108545;2.843;Q1;254;139;569;13752;2846;559;5.24;98,94;Netherlands;Elsevier BV;1966-ongoing;Chemistry (miscellaneous) (Q1)
23;18663;Organic Electronics: physics, materials, applications;journal;15661199;2.83;Q1;91;15;8;545;35;8;4.38;36,33;Netherlands;Elsevier BV;2000-ongoing;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1)"
24;26947;Journal of Catalysis;journal;10902694, 00219517;2.8289999999999997;Q1;218;381;1125;13756;4012;1123;3.46;36,10;United States;Elsevier Inc.;1962-ongoing;"Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
25;24678;Crystallography Reviews;journal;0889311X;2.575;Q1;24;0;3;0;16;3;2.00;0,00;United Kingdom;Taylor & Francis;1987-1996, 1998-2000, 2002-ongoing;"Biochemistry (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Structural Biology (Q2)"
