Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2001);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;20651;Annual Review of Immunology;journal;15453278, 07320582;36.369;Q1;309;24;84;4102;4436;84;48.07;170.92;United States;Northern America;Annual Reviews Inc.;1983-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
2;20798;Immunity;journal;10974180, 10747613;17.135;Q1;417;168;462;8231;9541;460;19.11;48.99;United States;Northern America;Cell Press;1994-2021;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
3;20278;Microbiology and Molecular Biology Reviews;journal;10985557, 10922172;15.832;Q1;256;26;118;5784;2607;118;18.64;222.46;United States;Northern America;American Society for Microbiology;1997-2021;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
4;17435;EMBO Journal;journal;02614189, 14602075;11.787;Q1;405;702;2048;34303;27040;2048;12.35;48.86;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
5;20736;Clinical and Experimental Immunology, Supplement;journal;09642536;11.222;Q1;23;0;1;0;26;1;26;0;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1991, 1993-1997, 1999;Immunology (Q1)
6;21272;Journal of Experimental Medicine;journal;00221007, 15409538;10.608;Q1;462;331;1273;14839;19887;1222;14.95;44.83;United States;Northern America;Rockefeller University Press;1909-1910, 1929, 1938, 1945-2021;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
7;21315;Nature Immunology;journal;15292908, 15292916;8.961;Q1;403;236;113;8325;1195;107;10.58;35.28;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Immunology (Q1)
8;20151;Advances in Immunology;book series;00652776, 15578445;8.552;Q1;110;28;62;6725;871;62;14.2;240.18;United States;Northern America;Academic Press Inc.;1961, 1963-1964, 1966-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
9;18797;Current Opinion in Immunology;journal;09527915;7.642;Q1;199;112;330;5447;3881;289;12.03;48.63;United Kingdom;Western Europe;Elsevier Ltd.;1988-2022;"Immunology (Q1); Immunology and Allergy (Q1)"
10;19614;Annual Review of Microbiology;journal;00664227, 15453251;7.595;Q1;199;28;72;3643;805;69;11.61;130.11;United States;Northern America;Annual Reviews Inc.;1948, 1950-1958, 1960, 1962-2020;Microbiology (Q1)
11;21365;Trends in Immunology;journal;14714906, 14714981;5.365;Q1;236;215;428;5228;4071;278;9.36;24.32;United Kingdom;Western Europe;Elsevier Ltd.;1987-1990, 1993-1994, 2001-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
12;19651;Clinical Microbiology Reviews;journal;08938512, 10986618;5.11;Q1;296;42;102;10650;1423;100;11.8;253.57;United States;Northern America;American Society for Microbiology;1988-2021;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
13;20810;Immunological Reviews;journal;01052896, 1600065X;4.392;Q1;234;119;373;10211;2637;369;7.39;85.81;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1969-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
14;21359;Seminars in Immunology;journal;10445323, 10963618;4.36;Q1;131;45;171;2753;969;154;4.88;61.18;United States;Northern America;Academic Press Inc.;1989-2021;"Immunology (Q1); Immunology and Allergy (Q1)"
