Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;12000154482;Annual Review of Biophysics;journal;19361238, 1936122X;12.045;Q1;163;20;53;2091;958;52;16.62;104.55;United States;Northern America;Annual Reviews Inc.;2008-2021;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
2;26556;Catalysis Reviews - Science and Engineering;journal;15205703, 01614940;6.955;Q1;105;13;33;2946;294;29;5.73;226.62;United States;Northern America;Taylor and Francis Ltd.;1968-1972, 1974-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
3;26532;Advances in Catalysis;book series;03600564;3.976;Q1;57;5;24;1923;177;21;9.5;384.6;United States;Northern America;Academic Press Inc.;1948, 1950-1960, 1962-1963, 1965-1970, 1972-1973, 1975-1977, 1979-1983, 1985-1987, 1989-1990, 1992-1994, 1996, 1998-2002, 2004, 2006-2007, 2009-2020;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
4;22687;Angewandte Chemie - International Edition;journal;14337851, 15213773;3.744;Q1;579;1000;2860;40863;18424;2854;6.22;40.86;United Kingdom;Western Europe;John Wiley and Sons Ltd;1962-2021;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
5;27538;Progress in Energy and Combustion Science;journal;03601285;3.723;Q1;196;13;49;2203;245;49;5.03;169.46;United Kingdom;Western Europe;Elsevier BV;1975-2022;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
6;31446;Catalysis reviews;journal;03602451;3.706;Q1;0;0;0;0;0;0;0;0;United States;Northern America;Dekker;1980-1991;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
7;22680;Journal of the American Chemical Society;journal;15205126, 00027863;3.587;Q1;644;2681;6717;114798;44060;4132;6.55;42.82;United States;Northern America;American Chemical Society;1879-2021;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
8;26960;Advances in Chemical Physics;book series;00652385;3.576;Q1;81;59;98;5897;549;98;5.26;99.95;United States;Northern America;"John Wiley &amp; Sons Inc.";1996-2014;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Bioengineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
9;16115;Nature Biotechnology;journal;15461696, 10870156;3.212;Q1;463;398;1358;5311;7449;983;5.87;13.34;United Kingdom;Western Europe;Nature Publishing Group;1989-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
10;26968;Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;13895567;2.778;Q1;95;8;18;971;115;18;6.39;121.38;Netherlands;Western Europe;Elsevier;2000-2021;"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
11;25762;Advances in Polymer Science;book series;00653195;2.666;Q1;118;18;61;2910;249;61;4.11;161.67;United States;Northern America;Springer New York;1958-1961, 1963-1964, 1969, 1976-1982, 1986-1987, 1990-2021;"Chemical Engineering (miscellaneous) (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
12;23392;Chemistry - A European Journal;journal;15213765, 09476539;2.58;-;254;591;1532;34077;6463;1528;4.26;57.66;Germany;Western Europe;Wiley-VCH Verlag;1995-2021;Chemistry (miscellaneous) (Q1)
13;13686;Advances in Heat Transfer;book series;00652717;2.573;Q1;33;0;19;0;58;9;1.75;0;United States;Northern America;Academic Press Inc.;1964-1967, 1969-1979, 1982, 1984-1985, 1987, 1989-1999, 2001, 2003-2004, 2006-2007, 2009-2021;"Condensed Matter Physics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1)"
14;15579;Current Opinion in Biotechnology;journal;18790429, 09581669;2.544;Q1;214;99;307;4093;1999;269;6.75;41.34;United Kingdom;Western Europe;Elsevier Ltd.;1990-2022;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1)"
15;12878;Chemistry of Materials;journal;15205002, 08974756;2.514;Q1;393;748;1764;27027;7628;1758;4.22;36.13;United States;Northern America;American Chemical Society;1989-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
16;29210;Physics of Fluids;journal;10706631, 10897666;2.454;-;186;435;1062;10756;2320;1052;1.97;24.73;United States;Northern America;American Institute of Physics;1958-1988, 1994-2021;Condensed Matter Physics (Q1)
17;26947;Journal of Catalysis;journal;10902694, 00219517;2.435;Q1;253;384;1097;14315;3797;1088;3.22;37.28;United States;Northern America;Academic Press Inc.;1962-2021;"Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
18;17853;Nano Letters;journal;15306992, 15306984;2.42;Q1;511;293;152;7622;796;152;5.24;26.01;United States;Northern America;American Chemical Society;2001-2021;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
19;15176;Journal of Pulp and Paper Science;journal;08266220;2.392;Q1;48;71;226;1381;293;225;1.11;19.45;Canada;Northern America;Pulp and Paper Technical Association of Canada (PAPTAC);1983-2010;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Media Technology (Q1)"
20;17987;International Journal of Robust and Nonlinear Control;journal;10498923, 10991239;2.34;Q1;111;67;206;1454;282;199;1.21;21.7;United Kingdom;Western Europe;John Wiley and Sons Ltd;1991-2021;"Aerospace Engineering (Q1); Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)"
21;16343;Applied Catalysis B: Environmental;journal;18733883, 09263373;2.283;Q1;274;135;427;4214;1432;410;2.88;31.21;Netherlands;Western Europe;Elsevier;1992-2022;"Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
22;23522;Electrochemical and Solid-State Letters;journal;10990062;2.259;Q1;146;199;562;3134;1535;560;2.65;15.75;United States;Northern America;Electrochemical Society, Inc.;1998-2012;"Chemical Engineering (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electrochemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
23;22781;Chemical Communications;journal;1364548X, 13597345;2.13;Q1;348;1475;3643;29648;14040;3639;3.91;20.1;United Kingdom;Western Europe;Royal Society of Chemistry;1965-1968, 1996-2021;"Catalysis (Q1); Ceramics and Composites (Q1); Chemistry (miscellaneous) (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
24;21493;Reviews in Computational Chemistry;book series;10693599;2.072;Q1;45;7;23;998;116;23;4.47;142.57;Germany;Western Europe;Wiley-VCH Verlag;1996-2007, 2009-2010, 2015;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
25;20450;International Journal of Multiphase Flow;journal;03019322;2.007;Q1;128;89;278;2407;472;278;1.57;27.04;United Kingdom;Western Europe;Elsevier BV;1973-2021;"Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Physics and Astronomy (miscellaneous) (Q1)"
26;28623;Combustion and Flame;journal;00102180;1.959;Q1;190;129;565;3932;1396;561;2.35;30.48;United States;Northern America;Elsevier Inc.;1957-2022;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
27;14422;Journal of Non-Newtonian Fluid Mechanics;journal;03770257;1.903;Q1;108;87;320;2529;623;320;1.77;29.07;Netherlands;Western Europe;Elsevier;1976-2021;"Applied Mathematics (Q1); Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)"
28;26533;Advances in Colloid and Interface Science;journal;00018686;1.822;Q1;194;52;129;4118;475;127;3.41;79.19;Netherlands;Western Europe;Elsevier;1967-1972, 1974-2021;"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1)"
29;26884;Current Opinion in Colloid and Interface Science;journal;13590294;1.782;Q1;153;58;187;2848;566;159;2.75;49.1;United Kingdom;Western Europe;Elsevier BV;1996-2021;"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
30;16342;Applied Catalysis A: General;journal;0926860X, 18733875;1.758;Q1;224;408;1392;12134;3271;1378;2.04;29.74;Netherlands;Western Europe;Elsevier;1991-2021;"Process Chemistry and Technology (Q1); Catalysis (Q2)"
31;28200;Biomaterials;journal;01429612, 18785905;1.725;Q1;397;542;925;16659;3339;919;3.2;30.74;United Kingdom;Western Europe;Elsevier BV;1980-2021;"Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Ceramics and Composites (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
32;16275;AICHE Journal;journal;00011541, 15475905;1.72;Q1;173;272;761;8507;1494;732;1.84;31.28;United States;Northern America;Wiley-Blackwell;1955-2021;"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Environmental Engineering (Q1)"
33;17905;Yeast;journal;10970061, 0749503X;1.695;Q1;106;119;458;4720;1093;457;2.36;39.66;United Kingdom;Western Europe;John Wiley and Sons Ltd;1985-2021;"Applied Microbiology and Biotechnology (Q1); Biochemistry (Q1); Bioengineering (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1); Genetics (Q2)"
34;16377;Catalysis Today;journal;09205861;1.691;Q2;221;243;1085;5797;2865;1067;2.2;23.86;Netherlands;Western Europe;Elsevier;1986-2021;"Chemistry (miscellaneous) (Q1); Catalysis (Q2)"
35;16146;Trends in Biotechnology;journal;01677799, 18793096;1.676;Q1;231;178;390;3898;1609;345;3.6;21.9;United Kingdom;Western Europe;Elsevier Ltd.;1983-2021;"Bioengineering (Q1); Biotechnology (Q1)"
36;29476;Corrosion Science;journal;0010938X;1.66;Q1;219;195;426;4641;673;421;1.52;23.8;United Kingdom;Western Europe;Elsevier Ltd.;1961-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
37;16413;Chemical Engineering Science;journal;00092509;1.634;Q1;194;428;1733;11817;2795;1727;1.44;27.61;United Kingdom;Western Europe;Elsevier BV;1951-2022;"Applied Mathematics (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1)"
38;25181;Electrochimica Acta;journal;00134686;1.633;Q1;249;423;1396;12469;3193;1387;2.11;29.48;United Kingdom;Western Europe;Elsevier Ltd.;1959-2021;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1)"
39;27476;Critical Reviews in Solid State and Materials Sciences;journal;15476561, 10408436;1.61;Q1;64;5;15;1075;36;15;2.67;215;United Kingdom;Western Europe;Taylor and Francis Ltd.;1977-1984, 1986-2021;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)"
40;26513;Tetrahedron Asymmetry;journal;1362511X, 09574166;1.523;Q2;109;413;1515;11906;3329;1515;2.22;28.83;United Kingdom;Western Europe;Elsevier Ltd.;1990-2017;"Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Catalysis (Q2)"
41;21100329308;Journal of Vacuum Science and Technology B:Nanotechnology and Microelectronics;journal;21662746, 21662754;1.503;Q1;120;546;1845;9886;3229;1840;1.72;18.11;United States;Northern America;AVS Science and Technology Society;1991-1992, 2009-2021;"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1); Materials Chemistry (Q1); Process Chemistry and Technology (Q1); Surfaces, Coatings and Films (Q1)"
42;40699;HRC Journal of High Resolution Chromatography;journal;09356304;1.482;Q1;0;0;0;0;0;0;0;0;United Kingdom;Western Europe;John Wiley and Sons Ltd;1978-2000;Chemical Engineering (miscellaneous) (Q1)
43;14257;Protein Engineering, Design and Selection;journal;17410126, 17410134;1.47;Q1;112;114;398;4134;1110;394;2.24;36.26;United Kingdom;Western Europe;Oxford University Press;1986-1996, 2004-2021;"Biochemistry (Q1); Bioengineering (Q1); Biotechnology (Q1); Molecular Biology (Q2)"
44;84620;Acta Polymerica;journal;03237648;1.458;Q1;47;0;52;0;128;52;0;0;United Kingdom;Western Europe;John Wiley and Sons Ltd;1979-1999;"Chemical Engineering (miscellaneous) (Q1); Polymers and Plastics (Q1)"
45;26508;Synthesis;journal;1437210X, 00397881;1.441;Q2;147;407;1031;14298;2201;1024;2.13;35.13;Germany;Western Europe;Georg Thieme Verlag;1970-2021;"Organic Chemistry (Q1); Catalysis (Q2)"
46;20327;Experiments in Fluids;journal;14321114, 07234864;1.427;Q1;128;192;428;3894;657;427;1.41;20.28;Germany;Western Europe;Springer Verlag;1983-2021;"Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanics of Materials (Q1); Physics and Astronomy (miscellaneous) (Q1)"
47;13759;International Journal of Heat and Fluid Flow;journal;0142727X;1.386;Q1;116;80;230;1755;365;230;1.43;21.94;Netherlands;Western Europe;Elsevier;1979-1980, 1982-2021;"Condensed Matter Physics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1)"
48;22748;Catalysis Letters;journal;1572879X, 1011372X;1.364;Q2;125;289;801;6893;1443;799;1.66;23.85;Netherlands;Western Europe;Springer Netherlands;1988-2021;"Chemistry (miscellaneous) (Q1); Catalysis (Q2)"
49;9500154039;Journal of Electroanalytical Chemistry;journal;15726657;1.302;Q1;163;425;1347;14013;2888;1342;2.06;32.97;Netherlands;Western Europe;Elsevier BV;1959-2021;"Analytical Chemistry (Q1); Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1)"
50;24670;Chemical Vapor Deposition;journal;15213862, 09481907;1.271;Q1;64;41;121;1176;256;121;1.81;28.68;Germany;Western Europe;Wiley-VCH Verlag;1995-2015;"Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Surfaces and Interfaces (Q1)"
51;13717;Powder Technology;journal;1873328X, 00325910;1.25;Q1;148;229;677;4761;723;659;1.06;20.79;Netherlands;Western Europe;Elsevier;1967-2022;Chemical Engineering (miscellaneous) (Q1)
52;29364;"Energy &amp; Fuels";journal;08870624, 15205029;1.247;Q1;198;206;560;5872;877;559;1.46;28.5;United States;Northern America;American Chemical Society;1987-2021;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
53;24738;Lab on a Chip;journal;14730197, 14730189;1.231;Q1;221;54;37;1266;119;36;3.22;23.44;United Kingdom;Western Europe;Royal Society of Chemistry;2001-2021;"Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q2)"
54;21971;Topics in Catalysis;journal;15729028, 10225528;1.226;Q2;116;72;305;2934;619;303;1.68;40.75;Netherlands;Western Europe;Springer Netherlands;1994-2021;"Chemistry (miscellaneous) (Q1); Catalysis (Q2)"
55;16395;Chemical Engineering Education (discontinued);journal;00092479;1.219;Q1;26;61;158;700;92;156;0.59;11.48;United States;Northern America;American Society for Engineering Education;1970, 1972-1975, 1977-1979, 1981-1990, 1993, 1996-2017;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
56;26953;Journal of Membrane Science;journal;03767388;1.214;Q1;267;408;1013;9838;2289;1009;2.06;24.11;Netherlands;Western Europe;Elsevier;1976-2022;"Biochemistry (Q1); Filtration and Separation (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
57;24074;Helvetica Chimica Acta;journal;0018019X, 15222675;1.187;Q2;85;342;726;13512;1552;724;2.12;39.51;United States;Northern America;Wiley-Blackwell;1918-2021;"Drug Discovery (Q1); Inorganic Chemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Biochemistry (Q2); Catalysis (Q2)"
58;15477;Biotechnology and Bioengineering;journal;00063592, 10970290;1.185;Q1;198;345;1073;10573;2749;1069;2.25;30.65;Germany;Western Europe;Wiley-VCH Verlag;1962-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)"
59;19823;Corrosion;journal;00109312, 1938159X;1.182;Q1;93;110;363;2536;419;363;1.16;23.05;United States;Northern America;National Association of Corrosion Engineers;1969-2020;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
60;16339;Metabolic Engineering;journal;10967176, 10967184;1.179;Q1;126;32;96;1255;300;93;2.75;39.22;United States;Northern America;Academic Press Inc.;1999-2021;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)"
61;28546;Journal of Nanoscience and Nanotechnology (discontinued);journal;15334899, 15334880;1.175;Q1;108;92;64;3438;126;64;1.97;37.37;United States;Northern America;American Scientific Publishers;2001-2018;"Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q2)"
62;13057;"Industrial &amp; Engineering Chemistry Research";journal;15205045, 08885885;1.169;Q1;231;781;1999;21865;3170;1960;1.39;28;United States;Northern America;American Chemical Society;1987-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1)"
63;32694;Tappi Journal;trade journal;07341415;1.135;Q1;47;75;415;1101;264;413;0.58;14.68;United States;Northern America;TAPPI Press;1977-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Media Technology (Q1)"
64;38399;Journal of Microcolumn Separations;journal;10407685;1.129;Q1;43;0;202;0;434;202;2.29;0;United Kingdom;Western Europe;John Wiley and Sons Ltd;1989-2001;"Filtration and Separation (Q1); Mechanical Engineering (Q1)"
65;21322;Flow, Turbulence and Combustion;journal;13866184, 15731987;1.104;Q1;68;33;114;838;103;112;1.01;25.39;Netherlands;Western Europe;Springer Netherlands;1996-2021;"Chemical Engineering (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)"
66;16313;Fuel;journal;00162361, 18737153;1.093;Q1;229;272;661;6294;807;657;1.14;23.14;Netherlands;Western Europe;Elsevier BV;1922, 1970-2022;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Organic Chemistry (Q1)"
67;16876;Bioconjugate Chemistry;journal;15204812, 10431802;1.09;Q1;177;172;410;5814;1448;407;3.32;33.8;United States;Northern America;American Chemical Society;1990-2021;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1)"
68;21100831009;Molecular Catalysis;journal;24688231;1.088;Q1;166;421;1376;12583;2570;1367;1.82;29.89;Netherlands;Western Europe;Elsevier BV;2017-2021;"Process Chemistry and Technology (Q1); Catalysis (Q2); Physical and Theoretical Chemistry (Q2)"
69;13261;Progress in Organic Coatings;journal;00330655, 03009440;1.084;Q1;115;86;235;1750;278;234;1.04;20.35;Netherlands;Western Europe;Elsevier;1972-2021;"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
70;20448;International Journal of Heat and Mass Transfer;journal;00179310;1.076;Q1;224;372;1110;9575;1636;1109;1.46;25.74;United Kingdom;Western Europe;Elsevier Ltd.;1960-2022;"Condensed Matter Physics (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1)"
71;24064;Journal of Supercritical Fluids;journal;08968446;1.073;Q1;119;66;187;1634;397;186;1.72;24.76;Netherlands;Western Europe;Elsevier;1988-2022;"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Physical and Theoretical Chemistry (Q2)"
72;24824;New Journal of Chemistry;journal;11440546, 13699261;1.059;Q3;126;314;687;11714;1495;684;2.16;37.31;United Kingdom;Western Europe;Royal Society of Chemistry;1996-2021;"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Catalysis (Q3)"
73;25780;Biomacromolecules;journal;15264602, 15257797;1.034;Q1;232;189;295;6541;751;294;2.55;34.61;United States;Northern America;American Chemical Society;2000-2021;"Bioengineering (Q1); Biomaterials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1)"
74;22597;Food Hydrocolloids;journal;0268005X;1.034;Q1;174;71;202;1827;366;201;1.58;25.73;Netherlands;Western Europe;Elsevier;1986, 1995-2022;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Food Science (Q1)"
75;24600;Computers and Chemical Engineering;journal;00981354;1.026;Q1;144;136;814;3503;828;802;1.08;25.76;United Kingdom;Western Europe;Elsevier BV;1977-2021;"Chemical Engineering (miscellaneous) (Q1); Computer Science Applications (Q1)"
76;25125;Journal of Analytical Toxicology;journal;19452403, 01464760;1.018;Q1;78;100;358;1713;544;326;1.43;17.13;United States;Northern America;Preston Publications;1977-2021;"Analytical Chemistry (Q1); Chemical Health and Safety (Q1); Environmental Chemistry (Q1); Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)"
