Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;24428;Critical Reviews in Oral Biology and Medicine;journal;15441113, 10454411;1.277;Q1;108;38;89;4870;307;85;2.8;128.16;United States;Northern America;International and American Associations for Dental Research;1990-2004;"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Otorhinolaryngology (Q1)"
2;24936;Dental Materials;journal;01095641, 18790097;1.249;Q1;159;83;203;2378;482;201;2.25;28.65;United Kingdom;Western Europe;Elsevier Science;1985-2021;"Dentistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
3;25660;Journal of Adhesive Dentistry;journal;14615185;1.245;Q1;72;35;101;1111;199;91;1.58;31.74;United States;Northern America;Quintessence Publishing Company;1999-2021;"Oral Surgery (Q1); Orthodontics (Q1); Periodontics (Q1)"
4;25615;International Journal of Oral and Maxillofacial Implants;journal;08822786;1.138;Q1;145;97;268;2754;583;259;1.86;28.39;United States;Northern America;Quintessence Publishing Company;1986-2021;"Medicine (miscellaneous) (Q1); Oral Surgery (Q1)"
5;24408;Clinical Oral Implants Research;journal;16000501, 09057161;1.009;Q1;171;86;213;3126;450;213;1.8;36.35;Denmark;Western Europe;Blackwell Munksgaard;1990-2021;Oral Surgery (Q1)
6;25669;Journal of Clinical Periodontology;journal;1600051X, 03036979;0.974;Q1;159;188;436;6789;852;429;1.77;36.11;Denmark;Western Europe;Blackwell Munksgaard;1974-2021;Periodontics (Q1)
7;25686;Journal of Dentistry;journal;03005712;0.971;Q1;124;51;225;1608;430;223;1.65;31.53;Netherlands;Western Europe;Elsevier BV;1972-2021;Dentistry (miscellaneous) (Q1)
8;26173;Journal of Periodontology;journal;00223492, 19433670;0.932;Q2;164;204;692;7381;1493;673;1.87;36.18;United States;Northern America;"John Wiley &amp; Sons Inc.";1945-1951, 1965-2021;Periodontics (Q2)
9;22913;Periodontology 2000;journal;09066713, 16000757;0.88;Q2;132;38;105;3888;250;104;1.62;102.32;Denmark;Western Europe;Blackwell Munksgaard;1993-2021;Periodontics (Q2)
10;22812;Operative Dentistry;journal;03617734, 15592863;0.868;Q1;86;102;220;2631;357;211;1.45;25.79;United States;Northern America;Indiana University School of Dentistry;1976-2021;Dentistry (miscellaneous) (Q1)
11;21658;Journal of Cranio-Maxillo-Facial Surgery;journal;18784119, 10105182;0.813;Q1;82;58;187;1458;230;176;0.9;25.14;United States;Northern America;Churchill Livingstone;1987-2021;"Oral Surgery (Q1); Otorhinolaryngology (Q1); Surgery (Q1)"
12;25610;International Endodontic Journal;journal;13652591, 01432885;0.791;Q1;127;129;216;3248;298;215;1.07;25.18;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1967-1972, 1974-2021;Dentistry (miscellaneous) (Q1)
13;24413;Community Dentistry and Oral Epidemiology;journal;03015661, 16000528;0.79;Q1;106;58;179;1847;277;178;1.43;31.84;Denmark;Western Europe;Blackwell Munksgaard;1973-2021;"Dentistry (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
14;25684;Journal of Dental Research;journal;00220345;0.79;Q1;192;177;519;3827;1056;477;1.73;21.62;United States;Northern America;SAGE Publications Inc.;1919-1924, 1927-1935, 1937-2021;Dentistry (miscellaneous) (Q1)
15;24388;Caries Research;journal;00086568, 1421976X;0.784;Q1;105;62;208;1880;337;204;1.41;30.32;Switzerland;Western Europe;S. Karger AG;1967-2021;Dentistry (miscellaneous) (Q1)
16;24291;Angle Orthodontist;journal;00033219;0.78;Q1;91;82;218;2553;174;194;0.65;31.13;United States;Northern America;Allen Press Inc.;1945, 1950-1951, 1960-1961, 1965-2021;"Medicine (miscellaneous) (Q1); Orthodontics (Q1)"
17;26171;Journal of Periodontal Research;journal;16000765, 00223484;0.743;Q3;89;65;165;2093;323;165;1.76;32.2;Denmark;Western Europe;Blackwell Munksgaard;1946-1951, 1966-2021;Periodontics (Q3)
18;23805;American Journal of Dentistry;journal;08948275;0.737;Q1;79;91;260;2713;380;259;1.19;29.81;United States;Northern America;Mosher and Linder, Inc;1988-2021;"Dentistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
