Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;18316;Journal of Veterinary Internal Medicine;journal;08916640;1.237;Q1;92;108;278;3235;392;253;1.43;29.95;United States;Wiley-Blackwell;1987-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
2;21376;Vaccine;journal;0264410X, 13588745;1.132;Q1;164;466;1751;14214;5072;1653;3.07;30.5;Netherlands;Elsevier BV;1983-ongoing;"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Public Health, Environmental and Occupational Health (Q1); Veterinary (miscellaneous) (Q1); Molecular Medicine (Q2)"
3;19574;Veterinary Surgery;journal;1532950X, 01613499;1.023;Q1;71;73;196;1625;236;192;1.08;22.26;United States;Wiley-Blackwell;1972-ongoing;Veterinary (miscellaneous) (Q1)
4;22916;Medical Mycology;journal;13693786, 14602709;0.942;Q1;77;80;237;2543;583;231;2.56;31.79;United Kingdom;Oxford University Press;1996-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2)"
5;17102;Journal of the American Animal Hospital Association;journal;15473317, 05872871;0.917;Q1;59;83;248;1731;226;233;0.79;20.86;United States;American Animal Hospital Association;1973-ongoing;Small Animals (Q1)
6;18838;Preventive Veterinary Medicine;journal;01675877;0.913;Q1;84;102;310;2792;427;299;1.41;27.37;Netherlands;Elsevier BV;1982-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1)"
7;19537;Veterinary Parasitology;journal;03044017;0.894;Q1;109;244;716;5890;1098;697;1.53;24.14;Netherlands;Elsevier BV;1975-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Parasitology (Q2)"
8;18313;Journal of Veterinary Diagnostic Investigation;journal;10406387;0.869;Q1;70;106;342;2035;514;342;1.58;19.2;United States;SAGE Publications Inc.;1989-ongoing;Veterinary (miscellaneous) (Q1)
9;29580;Journal of Comparative Pathology;journal;00219975;0.852;Q1;65;81;249;2289;399;249;1.32;28.26;United Kingdom;W. B. Saunders Co., Ltd.;1950-ongoing;"Pathology and Forensic Medicine (Q1); Veterinary (miscellaneous) (Q1)"
10;20882;Veterinary Microbiology;journal;03781135;0.838;Q1;114;246;630;7447;1127;613;1.71;30.27;Netherlands;Elsevier BV;1976-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
11;17778;Medical and Veterinary Entomology;journal;0269283X, 13652915;0.831;Q1;74;65;198;1880;284;195;1.48;28.92;United Kingdom;Blackwell Publishing Inc.;1987-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Parasitology (Q2)"
12;20491;Journal of Medical Entomology;journal;00222585;0.824;Q1;87;149;451;3897;578;449;1.27;26.15;United States;Oxford University Press;1964-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
13;17689;Avian Pathology;journal;03079457, 14653338;0.82;Q1;71;68;227;2363;330;216;1.51;34.75;United Kingdom;Taylor & Francis;1972-ongoing;"Animal Science and Zoology (Q1); Food Animals (Q1); Immunology and Microbiology (miscellaneous)  (Q2)"
14;19516;Veterinary Clinics of North America - Small Animal Practice;journal;01955616;0.809;Q1;61;75;230;3028;249;226;0.94;40.37;United Kingdom;W. B. Saunders Co., Ltd.;1978-ongoing;Small Animals (Q1)
15;19555;Veterinary Research;journal;09284249, 12979716;0.804;Q1;93;62;150;2385;293;148;1.91;38.47;United Kingdom;BioMed Central;1993-2016 (cancelled);Veterinary (miscellaneous) (Q1)
16;13527;Journal of Fish Diseases;journal;13652761, 01407775;0.781;Q1;75;89;192;2231;253;187;1.32;25.07;United Kingdom;Blackwell Publishing Inc.;1978-ongoing;"Veterinary (miscellaneous) (Q1); Aquatic Science (Q2)"
17;3300147807;Livestock Science;journal;18711413;0.753;Q1;99;147;413;5125;444;402;1.11;34.86;Netherlands;Elsevier BV;2006-ongoing;"Animal Science and Zoology (Q1); Veterinary (miscellaneous) (Q1)"
18;18903;Theriogenology;journal;0093691X;0.713;Q1;118;399;754;9084;1453;732;1.88;22.77;Netherlands;Elsevier BV;1974-ongoing;"Animal Science and Zoology (Q1); Equine (Q1); Food Animals (Q1); Small Animals (Q1)"
19;21288;Acta Tropica;journal;0001706X;0.711;Q1;89;123;320;2999;424;313;1.32;24.38;Netherlands;Elsevier BV;1947-1949, 1951-ongoing;"Insect Science (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q2)"
20;24609;Applied Animal Behaviour Science;journal;01681591;0.695;Q1;95;121;358;3489;485;352;1.27;28.83;Netherlands;Elsevier BV;1984-ongoing;"Food Animals (Q1); Animal Science and Zoology (Q2)"
21;17123;Journal of the American Veterinary Medical Association;journal;00031488;0.688;Q1;100;496;1464;6390;1129;1198;0.93;12.88;United States;American Veterinary Medical Association;1945-ongoing;Veterinary (miscellaneous) (Q1)
22;4700151709;Journal of Veterinary Cardiology;journal;17602734;0.682;Q1;31;11;26;311;22;18;0.67;28.27;Netherlands;Elsevier BV;1999-ongoing;"Veterinary (miscellaneous) (Q1); Physiology (Q2)"
23;19538;Veterinary Pathology;journal;15442217, 03009858;0.666;Q1;80;113;314;2089;406;298;1.32;18.49;United States;SAGE Publications;1964-ongoing;Veterinary (miscellaneous) (Q1)
24;17121;American Journal of Veterinary Research;journal;00029645;0.665;Q1;82;294;876;8741;1069;846;1.2;29.73;United States;American Veterinary Medical Association;1945-ongoing;"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1)"
25;18300;Journal of Small Animal Practice;journal;00224510;0.656;Q1;61;125;353;1868;239;342;0.57;14.94;United States;Wiley-Blackwell;1960-ongoing;Small Animals (Q1)
26;17755;Domestic Animal Endocrinology;journal;07397240;0.647;Q1;67;63;161;2869;311;160;1.93;45.54;Netherlands;Elsevier BV;1984-ongoing;"Food Animals (Q1); Animal Science and Zoology (Q2); Endocrinology (Q2)"
27;20340;Parasitology Research;journal;14321955, 09320113;0.643;Q1;84;210;548;4856;615;546;1.11;23.12;Germany;Springer Verlag;1987-ongoing;"Insect Science (Q1); Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Infectious Diseases (Q2); Parasitology (Q3)"
28;21502;Bulletin of the European Association of Fish Pathologists;journal;01080288;0.64;Q1;34;60;160;1052;146;160;0.64;17.53;United Kingdom;FRS Marine Lab.;1996-ongoing;"Small Animals (Q1); Aquatic Science (Q2)"
29;19520;Veterinary Immunology and Immunopathology;journal;01652427;0.64;Q1;86;188;443;6162;769;434;1.65;32.78;Netherlands;Elsevier BV;1979-ongoing;"Veterinary (miscellaneous) (Q1); Immunology (Q3)"
30;17687;Avian Diseases;journal;00052086;0.628;Q2;72;146;381;3562;430;380;1.13;24.4;United States;American Association of Avian Pathologists Inc.;1963, 1965-ongoing;"Animal Science and Zoology (Q2); Food Animals (Q2); Immunology and Microbiology (miscellaneous)  (Q2)"
31;19551;Veterinary Radiology and Ultrasound;journal;17408261, 10588183;0.616;Q1;54;89;271;1798;172;265;0.56;20.2;United Kingdom;Blackwell Publishing Inc.;1961-ongoing;Veterinary (miscellaneous) (Q1)
