Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2003);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;20651;Annual Review of Immunology;journal;15453278, 07320582;37.995;Q1;279;25;82;5272;4708;81;55.32;210,88;United States;Annual Reviews Inc.;1983-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
2;21315;Nature Immunology;journal;15292908, 15292916;15.02;Q1;344;242;594;8205;9783;464;22.15;33,90;United Kingdom;Nature Publishing Group;2000-ongoing;Immunology (Q1)
3;20798;Immunity;journal;10974180, 10747613;14.294;Q1;355;175;471;7525;8376;463;16.99;43,00;United States;Cell Press;1994-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
4;20278;Microbiology and Molecular Biology Reviews;journal;10922172;11.404000000000002;Q1;229;28;88;7491;1619;86;15.23;267,54;United States;American Society for Microbiology;1997-ongoing;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
5;21272;Journal of Experimental Medicine;journal;00221007;10.93;Q1;411;374;1106;15572;16959;1003;16.17;41,64;United States;Rockefeller University Press;1945-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
6;21318;Nature Reviews Immunology;journal;14741733;10.57;Q1;351;219;254;9070;2822;195;14.47;41,42;United Kingdom;Nature Publishing Group;2001-ongoing;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
7;17435;EMBO Journal;journal;02614189, 14602075;10.214;Q1;368;638;2100;29231;22337;2057;10.67;45,82;Germany;Wiley-Blackwell;1982-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
8;19614;Annual Review of Microbiology;journal;00664227, 15453251;9.064;Q1;175;28;87;3431;1335;84;13.16;122,54;United States;Annual Reviews Inc.;1948, 1950-1958, 1960, 1962-ongoing;Microbiology (Q1)
9;20151;Advances in Immunology;book series;00652776;7.762;Q1;97;9;48;1675;575;39;11.59;186,11;United States;Elsevier Inc.;1961, 1963-1964, 1966-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
10;18797;Current Opinion in Immunology;journal;09527915;7.175;Q1;177;113;339;5803;3740;309;11.74;51,35;Netherlands;Elsevier BV;1988-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
