Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2003);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;4100151532;Advances in Experimental Social Psychology;book series;00652601;8.025;Q1;78;6;17;1169;152;17;8.67;194,83;United States;Elsevier Inc.;1964, 1966-1967, 1969-1970, 1972, 1974-1984, 1986-1992, 1994-ongoing;Social Psychology (Q1)
2;12010;Annual Review of Psychology;journal;00664308, 15452085;6.015;Q1;216;24;72;3173;930;71;12.67;132,21;United States;Annual Reviews Inc.;1950-1958, 1960-1963, 1965-ongoing;Psychology (miscellaneous) (Q1)
3;13467;Psychological Review;journal;0033295X;5.959;Q1;192;37;117;4318;1064;116;8.58;116,70;United States;American Psychological Association;1894-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
4;13443;Psychological Bulletin;journal;00332909;5.571000000000001;Q1;272;40;132;7252;1261;132;8.64;181,30;United States;American Psychological Association;1904-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
5;13456;Psychological Inquiry;journal;15327965, 1047840X;4.91;Q1;71;58;68;1647;143;19;5.23;28,40;United States;Lawrence Erlbaum Associates Inc.;1990-1996, 1998-ongoing;Psychology (miscellaneous) (Q1)
6;30039;Journal of Personality and Social Psychology;journal;00223514;4.638;Q1;328;173;471;10941;2533;469;4.47;63,24;United States;American Psychological Association;1965-ongoing;"Social Psychology (Q1); Sociology and Political Science (Q1)"
7;12872;Cognitive Psychology;journal;10955623, 00100285;3.951;Q1;108;23;56;1831;310;55;4.05;79,61;United States;Elsevier Inc.;1970-ongoing;"Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1)"
8;13461;Psychological Methods;journal;1082989X;3.9189999999999996;Q1;131;36;85;1377;317;83;4.09;38,25;United States;American Psychological Association;1996-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
9;15359;Trends in Cognitive Sciences;journal;13646613;3.713;Q1;276;127;416;4158;1664;295;3.87;32,74;Netherlands;Elsevier BV;1997-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
10;12812;Personality and Social Psychology Review;journal;10888683, 15327957;3.5669999999999997;Q1;134;24;73;2103;306;73;3.69;87,63;United States;SAGE Publications;1997-ongoing;Social Psychology (Q1)
11;13422;Psychoanalytic Quarterly;journal;00332828;3.4789999999999996;Q1;36;36;86;1133;118;82;1.47;31,47;United States;Wiley-Blackwell;1945-ongoing;"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
12;15478;Journal of Experimental Psychology: General;journal;00963445;3.4760000000000004;Q1;138;30;112;2232;564;112;4.67;74,40;United States;American Psychological Association;1975-ongoing;"Developmental Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)"
13;15370;Journal of Abnormal Psychology;journal;0021843X;3.3939999999999997;Q1;174;67;230;3520;1025;228;3.76;52,54;United States;American Psychological Association;1948-1959, 1963-ongoing;"Biological Psychiatry (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)"
14;15388;Journal of Applied Psychology;journal;00219010;3.303;Q1;249;92;311;5867;1044;311;2.82;63,77;United States;American Psychological Association;1917-ongoing;Applied Psychology (Q1)
15;15269;Monographs of the Society for Research in Child Development;journal;0037976X, 15405834;3.2739999999999996;Q1;57;6;21;698;97;18;5.67;116,33;United Kingdom;Blackwell Publishing Inc.;1961-1982, 1984-ongoing;Developmental and Educational Psychology (Q1)
16;15439;Journal of Consulting and Clinical Psychology;journal;0022006X;3.218;Q1;218;111;349;5582;1831;344;4.12;50,29;United States;American Psychological Association;1968-ongoing;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
17;17282;Learning and Memory;journal;10720502, 15495485;3.1239999999999997;Q1;122;61;139;3584;612;129;4.78;58,75;United States;Cold Spring Harbor Laboratory Press;1994-ongoing;"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)"
