Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2005);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23571;Science;journal;10959203, 00368075;11.09;Q1;1124;2448;7494;32489;91805;4955;17.53;13.27;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2020;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;21206;Nature;journal;14764687, 00280836;10.333;Q1;1159;2848;7694;36937;89472;5228;16;12.97;United Kingdom;Western Europe;Nature Publishing Group;1869-2020;Multidisciplinary (Q1)
3;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;6.94;Q1;737;3455;9373;127161;101013;8734;11.12;36.8;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
4;27733;Latin American Research Review;journal;00238791, 15424278;1.531;-;45;22;82;1173;102;81;1.17;53.32;United States;Northern America;Latin American Studies Association;1970, 1978-2020;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
5;12337;International Journal of Bifurcation and Chaos in Applied Sciences and Engineering;journal;17936551, 02181274;0.669;Q1;95;256;782;6250;971;770;1.07;24.41;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1996-2020;"Engineering (miscellaneous) (Q1); Multidisciplinary (Q1); Applied Mathematics (Q2); Modeling and Simulation (Q2)"
6;19298;American Scientist;trade journal;00030996;0.585;Q1;58;69;77;292;94;77;1.54;4.23;United States;Northern America;Sigma Xi, Scientific Research Society;1946-1951, 1961-2016;Multidisciplinary (Q1)
7;23100;Proceedings of the Japan Academy Series B: Physical and Biological Sciences;journal;13492896, 03862208;0.525;Q1;50;48;148;1873;198;145;1.81;39.02;Japan;Asiatic Region;Japan Academy;1977-2020;"Multidisciplinary (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Medicine (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
8;28472;Fractals;journal;17936543, 0218348X;0.459;Q1;39;28;163;491;114;159;0.72;17.54;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1995-2020;"Multidisciplinary (Q1); Modeling and Simulation (Q2); Applied Mathematics (Q3); Geometry and Topology (Q4)"
9;22251;Pacific Science;journal;15346188, 00308870;0.448;Q1;40;46;108;1203;76;108;0.67;26.15;United States;Northern America;University of Hawaii Press;1979-2019;Multidisciplinary (Q1)
10;25823;Complexity;journal;10762787, 10990526;0.438;Q1;52;37;122;1139;118;110;0.69;30.78;Egypt;Africa/Middle East;Hindawi Limited;1995-2020;Multidisciplinary (Q1)
11;23030;Journal of the Royal Society of New Zealand;journal;03036758;0.42;Q1;37;20;94;1073;77;94;0.72;53.65;United Kingdom;Western Europe;Taylor and Francis Ltd.;1971-2020;Multidisciplinary (Q1)
12;23697;Science Progress;journal;20477163, 00368504;0.371;Q1;33;8;40;551;48;39;0.81;68.88;United Kingdom;Western Europe;Science Reviews Ltd;1946-1949, 1955, 1957, 1960-1963, 1965-1972, 1974-1993, 1995-2020;Multidisciplinary (Q1)
13;21100405003;Science Bulletin;journal;20959273, 20959281;0.345;Q1;101;496;1506;12127;1226;1502;0.8;24.45;Netherlands;Western Europe;Elsevier BV;2015-2020;Multidisciplinary (Q1)
14;24197;Scientific American;journal;00368733;0.342;Q1;88;313;1000;0;703;688;1.2;0;United States;Northern America;Scientific American Inc.;1947-1950, 1958-2018;Multidisciplinary (Q1)
15;18659;Anais da Academia Brasileira de Ciencias;journal;00013765, 16782690;0.315;Q1;54;52;176;2876;151;175;0.8;55.31;Brazil;Latin America;Academia Brasileira de Ciencias;1945-1946, 1949, 1970-1992, 1994-2020;Multidisciplinary (Q1)
16;20699;Current Science;journal;00113891;0.289;Q1;110;839;1771;18257;1084;1376;0.72;21.76;India;Asiatic Region;Indian Academy of Sciences;1945-1951, 1973-1989, 1993-2020;Multidisciplinary (Q1)
