Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2007);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Categories
1;24404;Journal of Political Economy;journal;ISSN 1537534, 00223808;16.31;Q1;159;34;138;1145;774;137;5.11;33.68;United States;Economics and Econometrics (Q1)
2;29431;Quarterly Journal of Economics;journal;ISSN 00335533, 15314650;14.79;Q1;219;44;121;1761;761;120;4.88;40.02;United States;Economics and Econometrics (Q1)
3;19482;Econometrica;journal;ISSN 00129682, 14680262;11.619;Q1;158;55;180;1735;755;173;3.75;31.55;United Kingdom;Economics and Econometrics (Q1)
4;27165;Journal of Economic Literature;journal;ISSN 00220515;10.146;Q1;140;20;57;1744;438;56;5.92;87.2;United States;Economics and Econometrics (Q1)
5;17500;Journal of Finance;journal;ISSN 15406261, 00221082;9.87;Q1;249;87;268;3777;1510;262;5.03;43.41;United Kingdom;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
6;24202;Review of Economic Studies;journal;ISSN 1467937, 00346527;9.425;Q1;118;47;138;1700;473;137;3.1;36.17;United Kingdom;Economics and Econometrics (Q1)
7;20110;NBER Macroeconomics Annual;book serie;ISSN 08893365;7.766;Q1;51;19;69;476;70;18;3.08;25.05;United States;Economics and Econometrics (Q1)
8;24379;Journal of Financial Economics;journal;ISSN 0304405X, 0304405;7.436;Q1;206;104;243;4349;1163;241;4.31;41.82;Netherlands;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
9;22951;Journal of Marketing;journal;ISSN 00222429, 15477185;7.31;Q1;208;50;133;3368;1083;128;6.34;67.36;United States;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
10;29838;Journal of Accounting and Economics;journal;ISSN 01654101;7.305;Q1;122;34;90;1266;362;86;4.27;37.24;Netherlands;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
11;22697;American Economic Review;journal;ISSN 00028282;7.267;Q1;237;193;530;4514;1829;508;2.86;23.39;United States;Economics and Econometrics (Q1)
12;16161;Review of Financial Studies;journal;ISSN 08939454, 14657368;6.306;Q1;145;59;120;2501;433;118;3.26;42.39;United Kingdom;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
13;28978;Journal of Economic Growth;journal;ISSN 15737020, 13814338;6.202;Q1;72;10;37;429;206;37;2.08;42.9;Netherlands;Economics and Econometrics (Q1)
14;17700155020;Handbook of Regional and Urban Economics;book serie;ISSN 15740080;6.102;Q1;25;0;24;0;124;22;0.0;0.0;Netherlands;"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)"
15;17700155024;Handbook of Economic Growth;book serie;ISSN 15740684;6.084;Q1;26;0;31;0;140;29;4.83;0.0;Netherlands;Economics and Econometrics (Q1)
16;29857;Journal of Accounting Research;journal;ISSN 1475679, 00218456;5.838;Q1;113;37;91;1523;302;81;2.84;41.16;United Kingdom;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
17;28980;Journal of Economic Perspectives;journal;ISSN 08953309;5.284;Q1;162;48;157;2262;664;144;3.88;47.13;United States;Economics and Econometrics (Q1)
18;28096;Accounting Review;journal;ISSN 00014826;4.731;Q1;125;45;136;1974;486;136;2.74;43.87;United States;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
19;23714;Marketing Science;journal;ISSN 1526548, 07322399;4.498;Q1;108;63;167;2679;635;159;3.57;42.52;United States;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
20;28418;Brookings Papers on Economic Activity;journal;ISSN 00072303, 15334465;4.374;Q1;70;32;33;802;85;29;2.19;25.06;United States;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
