Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2008);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19479;Annual Review of Pharmacology and Toxicology;journal;15454304, 03621642;11.171;Q1;210;23;70;3175;1681;70;23.63;138.04;United States;Northern America;Annual Reviews Inc.;1965-1973, 1975-2021;"Pharmacology (Q1); Toxicology (Q1)"
2;21191;Pharmacological Reviews;journal;15210081, 00316997;10.461;Q1;241;18;83;7023;1886;79;21.53;390.17;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1949, 1951-2021;"Molecular Medicine (Q1); Pharmacology (Q1)"
3;20425;Nature Reviews Drug Discovery;journal;14741784, 14741776;7.292;Q1;348;165;659;8590;5717;345;12.08;52.06;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
4;22321;Trends in Pharmacological Sciences;journal;18733735, 01656147;4.697;Q1;225;88;301;5411;2887;282;9.81;61.49;United Kingdom;Western Europe;Elsevier Ltd.;1979-2021;"Pharmacology (Q1); Toxicology (Q1)"
5;21195;Pharmacology and Therapeutics;journal;1879016X, 01637258;4.252;Q1;211;94;330;16214;3339;327;10.46;172.49;United States;Northern America;Elsevier Inc.;1975-1977, 1979-1985, 1987-2021;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
6;24032;Reviews of Physiology Biochemistry and Pharmacology;journal;16175786, 03034240;3.78;Q1;66;5;25;733;150;25;6.47;146.6;Germany;Western Europe;Springer Verlag;1974-2008, 2012-2018;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
7;13903;Cellular and Molecular Life Sciences;journal;1420682X, 14209071;3.544;Q1;233;311;805;31655;4907;800;5.87;101.78;Switzerland;Western Europe;Birkhauser Verlag Basel;1952, 1997-2021;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
8;18017;Neuropsychopharmacology;journal;0893133X, 1470634X;3.385;Q1;227;304;770;19392;5121;742;6.35;63.79;United Kingdom;Western Europe;Nature Publishing Group;1987-2021;"Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
9;4700152457;Nano Today;journal;17480132;3.37;Q1;155;21;67;977;319;40;4.76;46.52;Netherlands;Western Europe;Elsevier;1970, 2006-2021;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
10;19409;Advanced Drug Delivery Reviews;journal;0169409X, 18728294;3.144;Q1;331;140;369;14876;3479;310;8.24;106.26;Netherlands;Western Europe;Elsevier;1987-2021;Pharmaceutical Science (Q1)
