Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2009);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;58530;"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System";journal;"15518922, 15518930";14,828;Q1;89;5;23;0;697;23;30,56;0,00;United States;"US Department of Health and Human Services";"1998-ongoing";"Life-span and Life-course Studies (Q1)"
2;19434;"MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control";journal;"10575987, 15458601";12,719;Q1;134;5;32;0;1317;32;36,75;0,00;United States;"Centers for Disease Control and Prevention (CDC)";"1990-ongoing";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
3;16036;"Administrative Science Quarterly";journal;"00018392";8,012;Q1;165;18;60;1373;296;55;4,10;76,28;United States;"Cornell University Press";"1975-1987, 1989-1990, 1993-1994, 1996-ongoing";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
4;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";7,389;Q1;90;1;41;0;849;41;17,80;0,00;United States;"Centers for Disease Control and Prevention (CDC)";"2002-ongoing";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
5;145558;"Political Analysis";journal;"10471987, 14764989";5,803;Q1;59;31;83;1096;371;70;3,80;35,35;United Kingdom;"Cambridge University Press";"1989-1993, 2004-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
6;12481;"Journal of Engineering Education";journal;"10694730, 21689830";5,616;Q1;93;31;109;1210;453;86;4,56;39,03;United States;"Wiley-Blackwell";"1969-1978, 1993-1995, 1997-ongoing";"Education (Q1); Engineering (miscellaneous) (Q1)"
7;15555;"American Journal of Political Science";journal;"00925853, 15405907";5,541;Q1;150;60;162;3061;702;162;3,14;51,02;United Kingdom;"Blackwell Publishing Inc.";"1982, 1986, 1996-ongoing";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
8;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";5,449;Q1;142;58;177;1921;714;177;3,42;33,12;United States;"MIT Press";"1978-ongoing";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
9;16926;"American Journal of Sociology";journal;"00029602, 15375390";5,372;Q1;160;37;110;3157;560;105;4,57;85,32;United States;"University of Chicago Press";"1948-1950, 1964-ongoing";"Sociology and Political Science (Q1)"
10;39139;"International Organization";journal;"15315088, 00208183";5,310;Q1;133;26;82;2187;428;77;3,33;84,12;United Kingdom;"Cambridge University Press";"1947-ongoing";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
