Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;16801;Annual Review of Biochemistry;journal;15454509, 00664154;30.879;Q1;305;28;99;4477;3422;99;31.47;159.89;United States;Northern America;Annual Reviews Inc.;1946-1948, 1950-1960, 1962-2021;Biochemistry (Q1)
2;18990;Nature Genetics;journal;10614036, 15461718;28.013;Q1;597;248;867;6899;24640;784;29.21;27.82;United Kingdom;Western Europe;Nature Publishing Group;1992-2021;Genetics (Q1)
3;18434;Cell;journal;00928674, 10974172;25.629;Q1;814;469;1616;18919;37305;1530;21.78;40.34;United States;Northern America;Cell Press;1974-2021;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
4;21706;Annual Review of Genetics;journal;15452948, 00664197;21.1;Q1;189;19;76;2714;1601;76;22.63;142.84;United States;Northern America;Annual Reviews Inc.;1970-2020;Genetics (Q1)
5;24004;Physiological Reviews;journal;15221210, 00319333;21.022;Q1;358;33;106;15835;4307;106;30.51;479.85;United States;Northern America;American Physiological Society;1945-2021;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
6;20315;Nature Reviews Molecular Cell Biology;journal;14710072, 14710080;20.477;Q1;452;190;576;8814;11043;504;16.52;46.39;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;"Cell Biology (Q1); Molecular Biology (Q1)"
7;18395;Annual Review of Cell and Developmental Biology;journal;15308995, 10810706;19.621;Q1;226;29;77;4231;1520;76;14.35;145.9;United States;Northern America;Annual Reviews Inc.;1995-2020;"Cell Biology (Q1); Developmental Biology (Q1)"
8;29093;Cancer Cell;journal;15356108, 18783686;16.468;Q1;359;148;379;4823;6845;374;16.56;32.59;United States;Northern America;Cell Press;2002-2021;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
9;16721;Annual Review of Plant Biology;journal;15452123, 15435008;15.802;Q1;272;29;74;4225;2217;74;30.41;145.69;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
10;19014;Nature Cell Biology;journal;14764679, 14657392;15.575;Q1;384;188;683;6315;9672;613;13.92;33.59;United Kingdom;Western Europe;Nature Publishing Group;1999-2021;Cell Biology (Q1)
11;18606;Molecular Cell;journal;10974164, 10972765;15.376;Q1;414;384;1076;16233;14119;1058;12.15;42.27;United States;Northern America;Cell Press;1997-2021;"Cell Biology (Q1); Molecular Biology (Q1)"
12;22126;Genes and Development;journal;15495477, 08909369;14.948;Q1;453;261;887;14931;12311;886;13.51;57.21;United States;Northern America;Cold Spring Harbor Laboratory Press;1987-2021;"Developmental Biology (Q1); Genetics (Q1)"
13;21100326898;Acta Crystallographica Section A: Foundations and Advances;journal;20532733;14.691;Q1;84;75;174;2572;7388;171;59.95;34.29;United States;Northern America;"John Wiley &amp; Sons Inc.";1998, 2014-2021;"Biochemistry (Q1); Condensed Matter Physics (Q1); Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Structural Biology (Q1)"
14;12000154482;Annual Review of Biophysics;journal;19361238, 1936122X;14.007;Q1;163;28;65;2822;1276;64;18.86;100.79;United States;Northern America;Annual Reviews Inc.;2008-2021;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
15;21708;Annual Review of Genomics and Human Genetics;journal;15278204, 1545293X;13.762;Q1;121;18;60;2621;1072;60;19.05;145.61;United States;Northern America;Annual Reviews Inc.;2000-2021;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
16;18503;Current Opinion in Cell Biology;journal;09550674, 18790410;13.337;Q1;267;121;313;7289;4268;292;13.27;60.24;United Kingdom;Western Europe;Elsevier Ltd.;1989-2021;Cell Biology (Q1)
17;18991;Nature Reviews Genetics;journal;14710056, 14710064;13.016;Q1;384;179;597;8195;8439;527;14.53;45.78;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
18;12394;Nature Structural and Molecular Biology;journal;15459993, 15459985;12.732;Q1;281;264;687;11244;7170;644;10.62;42.59;United Kingdom;Western Europe;Nature Publishing Group;1998, 2004-2021;"Molecular Biology (Q1); Structural Biology (Q1)"
19;22214;Genome Research;journal;15495469, 10889051;12.476;Q1;305;171;637;9161;8502;629;14.24;53.57;United States;Northern America;Cold Spring Harbor Laboratory Press;1991-2021;"Genetics (Q1); Genetics (clinical) (Q1)"
20;6100153018;Cell Stem Cell;journal;19345909;11.96;Q1;266;197;454;6335;6758;378;14.4;32.16;United States;Northern America;Cell Press;2007-2021;"Cell Biology (Q1); Genetics (Q1); Molecular Medicine (Q1)"
21;19066;Trends in Cell Biology;journal;09628924, 18793088;11.582;Q1;249;85;233;7016;3118;231;12.65;82.54;United Kingdom;Western Europe;Elsevier Ltd.;1991-2021;Cell Biology (Q1)
22;12464;Nature Reviews Cancer;journal;1474175X, 14741768;11.332;Q1;462;193;611;9928;9137;537;14.99;51.44;United Kingdom;Western Europe;Nature Publishing Group;2001-2021;"Cancer Research (Q1); Oncology (Q1)"
23;18525;Developmental Cell;journal;15345807, 18781551;10.798;Q1;275;221;610;10443;6244;603;10.21;47.25;United States;Northern America;Cell Press;2001-2021;Developmental Biology (Q1)
24;14913;Quarterly Reviews of Biophysics;journal;00335835, 14698994;10.433;Q1;100;12;25;2335;316;25;11.65;194.58;United Kingdom;Western Europe;Cambridge University Press;1968-1985, 1987-2021;Biophysics (Q1)
25;15819;Nature Medicine;journal;1546170X, 10788956;10.376;Q1;576;501;1204;7544;13539;780;10.11;15.06;United Kingdom;Western Europe;Nature Publishing Group;1995-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
26;146172;Cell Metabolism;journal;15504131;10.366;Q1;292;155;389;5359;5191;382;12.62;34.57;United States;Northern America;Cell Press;2005-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1)"
27;26038;Endocrine Reviews;journal;19457189, 0163769X;10.165;Q1;283;29;101;8142;2430;99;24.22;280.76;United States;Northern America;The Endocrine Society;1980-2021;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
28;14816;Trends in Biochemical Sciences;journal;13624326, 03765067, 09680004;10.112;Q1;281;88;240;6128;2684;220;9.88;69.64;United Kingdom;Western Europe;Elsevier Ltd.;1976-2021;"Biochemistry (Q1); Molecular Biology (Q1)"
