Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;17500;Journal of Finance;journal;00221082, 15406261;14.78;Q1;264;70;247;3318;1502;240;5.33;47.40;United Kingdom;Blackwell Publishing Inc.;1946-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
2;16161;Review of Financial Studies;journal;14657368, 08939454;14.317;Q1;157;125;283;5891;1634;279;5.68;47.13;United Kingdom;Oxford University Press;1996-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
3;24379;Journal of Financial Economics;journal;0304405X;12.121;Q1;223;101;285;4583;1753;282;5.39;45.38;Netherlands;Elsevier BV;1974-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)"
4;20191;Academy of Management Journal;journal;00014273;10.568;Q1;283;70;192;6195;1765;181;6.5;88.50;United States;Academy of Management;1975-1987, 1989-ongoing;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
5;20206;Academy of Management Review;journal;03637425;9.35;Q1;242;30;153;3384;1972;141;8.06;112.80;United States;Academy of Management;1978-1987, 1989-1991, 1996-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
6;17700155016;Handbook of Industrial Organization;book series;1573448X;8.955;Q1;10;0;12;0;94;10;0;0.00;Netherlands;Elsevier BV;1989, 2007;"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
7;29838;Journal of Accounting and Economics;journal;01654101;6.909;Q1;132;36;86;3263;461;86;3.6;90.64;Netherlands;Elsevier BV;1979-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
8;23157;Strategic Management Journal;journal;10970266, 01432095;6.578;Q1;253;76;206;5610;1579;204;5;73.82;United States;John Wiley & Sons Inc.;1980-ongoing;"Business and International Management (Q1); Strategy and Management (Q1)"
9;39139;International Organization;journal;15315088, 00208183;6.57;Q1;133;25;75;1455;429;71;5.98;58.20;United Kingdom;Cambridge University Press;1947-ongoing;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
10;22324;Organization Science;journal;15265455, 10477039;6.532;Q1;211;73;175;5936;1033;171;5.07;81.32;United States;Institute for Operations Research and the Management Sciences;1996-ongoing;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
11;20246;Journal of Labor Economics;journal;0734306X, 15375307;6.509;Q1;94;26;60;969;195;60;2.44;37.27;United States;University of Chicago Press;1985-1989, 1991, 1993, 1995-ongoing;"Economics and Econometrics (Q1); Industrial Relations (Q1)"
12;29857;Journal of Accounting Research;journal;1475679X, 00218456;6.179;Q1;118;34;112;1544;427;101;3.97;45.41;United Kingdom;Blackwell Publishing Inc.;1996-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
13;22951;Journal of Marketing;journal;15477185, 00222429;5.573;Q1;218;50;159;3043;1077;157;5.5;60.86;United States;American Marketing Association;1969, 1971, 1973, 1977, 1979-1981, 1996-ongoing;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
14;14130;Research in Organizational Behavior;book series;01913085;4.931;Q1;57;9;23;1503;96;18;5.33;167.00;United Kingdom;Elsevier Ltd.;2000-2004, 2006, 2008-ongoing;"Experimental and Cognitive Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)"
15;19169;Journal of Operations Management;journal;02726963;4.8;Q1;166;39;149;3587;1243;139;8.64;91.97;Netherlands;Elsevier BV;1981-1991, 1993-ongoing;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
16;16160;Review of Finance;journal;15723097;4.738;-;47;24;64;860;132;60;2.7;35.83;United Kingdom;Oxford University Press;2004-ongoing;Finance (Q1)
17;20635;Journal of Management;journal;01492063;4.717;Q1;192;61;129;5697;854;122;5.27;93.39;United States;SAGE Publications;1975-ongoing;"Finance (Q1); Strategy and Management (Q1)"
18;28096;Accounting Review;journal;00014826;4.608;Q1;133;75;159;3421;607;156;3.44;45.61;United States;American Accounting Association;1996-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
19;22961;Journal of Marketing Research;journal;00222437, 15477193;4.456;Q1;147;92;178;3938;734;159;3.84;42.80;United States;American Marketing Association;1968, 1996-ongoing;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
20;12817;Personnel Psychology;journal;00315826;4.405;Q1;124;30;75;2461;451;75;4.26;82.03;United States;Wiley-Blackwell;1948-ongoing;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
21;22330;Organizational Research Methods;journal;10944281;4.356;Q1;95;42;112;2305;482;106;4.65;54.88;United States;SAGE Publications;1998-ongoing;"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
22;21789;Manufacturing and Service Operations Management;journal;15265498, 15234614;4.334;Q1;71;40;115;1225;308;114;2.3;30.63;United States;Institute for Operations Research and the Management Sciences;1999-ongoing;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
23;12402;MIS Quarterly: Management Information Systems;journal;02767783;4.025;Q1;195;42;114;3675;1232;106;10.16;87.50;United States;MIS Research Center;1980-ongoing;"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)"
24;24870;Journal of Human Resources;journal;15488004, 0022166X;3.945;Q1;92;34;102;1194;262;100;2.22;35.12;United States;University of Wisconsin Press;1976-1982, 1992-ongoing;"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
25;80370;Journal of Financial and Quantitative Analysis;journal;00221090;3.937;Q1;101;67;102;2737;267;102;2.36;40.85;United Kingdom;Cambridge University Press;1966-ongoing;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
26;28418;Brookings Papers on Economic Activity;journal;00072303, 15334465;3.867;Q1;75;36;94;625;193;62;3.86;17.36;United States;Brookings Institution Press;1990, 1992, 1996-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
27;21307;Management Science;journal;00251909, 15265501;3.848;Q1;221;144;427;6078;1718;423;3.19;42.21;United States;Institute for Operations Research and the Management Sciences;1969-ongoing;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
28;23860;Journal of Business Venturing;journal;08839026;3.823;Q1;154;44;115;3579;590;112;3.5;81.34;Netherlands;Elsevier BV;1985-ongoing;"Business and International Management (Q1); Management of Technology and Innovation (Q1)"
29;22899;Journal of Consumer Research;journal;00935301, 15375277;3.682;Q1;155;76;220;4052;933;217;3.45;53.32;United Kingdom;Oxford University Press;1977-1978, 1984, 1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
30;24392;Journal of International Business Studies;journal;00472506, 14786990;3.672;Q1;168;96;245;6258;1378;222;5.06;65.19;United Kingdom;Palgrave Macmillan Ltd.;1996-ongoing;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
31;21915;Omega;journal;03050483;3.618;Q1;120;57;246;2150;1412;234;5.66;37.72;United Kingdom;Elsevier Ltd.;1973-ongoing;"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
