Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;14181;Annual Review of Neuroscience;book series;0147006X, 15454126;25,551;Q1;224;20;63;3081;2106;63;29,32;154,05;United States;Annual Reviews Inc.;1978-ongoing;Neuroscience (miscellaneous) (Q1)
2;17436;Nature Neuroscience;journal;10976256;11,165;Q1;375;293;791;9581;9536;705;12,50;32,70;United Kingdom;Nature Publishing Group;1998-ongoing;Neuroscience (miscellaneous) (Q1)
3;17978;Neuron;journal;08966273;11,049;Q1;430;400;1118;23154;12853;1070;11,39;57,89;United States;Cell Press;1988-ongoing;Neuroscience (miscellaneous) (Q1)
4;19939;Trends in Neurosciences;journal;01662236;10,277;Q1;269;62;217;5978;3493;208;14,77;96,42;Netherlands;Elsevier BV;1978-ongoing;Neuroscience (miscellaneous) (Q1)
5;17435;EMBO Journal;journal;02614189, 14602075;9,481;Q1;368;380;1089;19639;10276;1056;9,80;51,68;Germany;Wiley-Blackwell;1982-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
6;17437;Nature Reviews Neuroscience;journal;14710048, 1471003X;9,319;Q1;375;179;587;8968;7430;500;13,81;50,10;United Kingdom;Nature Publishing Group;2000-ongoing;Neuroscience (miscellaneous) (Q1)
7;12108;Behavioral and Brain Sciences;journal;14691825, 0140525X;8,390;Q1;148;224;762;3554;907;31;26,14;15,87;United Kingdom;Cambridge University Press;1978-ongoing;"Behavioral Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1); Physiology (Q1)"
8;15359;Trends in Cognitive Sciences;journal;13646613;8,248;Q1;276;95;262;5339;3015;204;11,42;56,20;Netherlands;Elsevier BV;1997-ongoing;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
9;12977;PLoS Biology;journal;15449173, 15457885;7,847;Q1;234;292;863;13016;8105;802;9,94;44,58;United States;Public Library of Science;2003-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
10;14992;Current Opinion in Neurobiology;journal;09594388;7,310;Q1;210;113;264;6410;2267;242;8,16;56,73;Netherlands;Elsevier BV;1991-ongoing;Neuroscience (miscellaneous) (Q1)
11;17382;Molecular Psychiatry;journal;14765578, 13594184;6,533;Q1;196;154;382;7074;3913;282;14,03;45,94;United Kingdom;Nature Publishing Group;1996-ongoing;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
12;6500153245;Brain Cell Biology;journal;15597105, 15597113;6,204;Q1;20;0;18;0;90;16;5,63;0,00;United States;Kluwer Academic Publishers;2006, 2008;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1)"
13;16764;Journal of Neuroscience;journal;02706474, 15292401;6,058;Q1;422;1748;4442;92109;35601;4263;7,88;52,69;United States;Society for Neuroscience;1981-ongoing;Neuroscience (miscellaneous) (Q1)
14;24025;Progress in Neurobiology;journal;03010082;5,631;Q1;212;88;170;18259;1943;166;11,21;207,49;United Kingdom;Elsevier Ltd.;1956, 1959-1960, 1962, 1973-ongoing;Neuroscience (miscellaneous) (Q1)
15;14179;Annals of Neurology;journal;15318249, 03645134;5,498;Q1;273;333;705;8230;5541;484;11,54;24,71;United States;John Wiley & Sons Inc.;1977-ongoing;"Neurology (Q1); Neurology (clinical) (Q1)"
