Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2010);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19479;Annual Review of Pharmacology and Toxicology;journal;15454304, 03621642;12.86;Q1;193;17;66;2944;1677;66;20.9;173,18;United States;Annual Reviews Inc.;1965-1973, 1975-ongoing;"Pharmacology (Q1); Toxicology (Q1)"
2;21191;Pharmacological Reviews;journal;15210081, 00316997;8.749;Q1;210;23;54;9201;1039;47;21.47;400,04;United States;American Society for Pharmacology and Experimental Therapeutics;1949-ongoing;"Molecular Medicine (Q1); Pharmacology (Q1)"
3;20425;Nature Reviews Drug Discovery;journal;14741776;6.569;Q1;289;253;523;7528;5738;399;13.95;29,75;United Kingdom;Nature Publishing Group;2002-ongoing;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
4;4700152457;Nano Today;journal;17480132;5.824;Q1;119;63;115;3753;1083;84;10.84;59,57;Netherlands;Elsevier BV;2006-ongoing;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
5;22321;Trends in Pharmacological Sciences;journal;01656147;5.544;Q1;201;80;253;5902;2946;237;12.41;73,78;Netherlands;Elsevier BV;1979-ongoing;"Pharmacology (Q1); Toxicology (Q1)"
6;12611;Drug Resistance Updates;journal;13687646, 15322084;5.3279999999999985;Q1;100;19;45;2423;612;45;13.53;127,53;United States;Churchill Livingstone;1998-ongoing;"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
7;19409;Advanced Drug Delivery Reviews;journal;0169409X;4.742;Q1;278;128;380;15651;5385;331;15.59;122,27;Netherlands;Elsevier BV;1987-ongoing;Pharmaceutical Science (Q1)
8;13903;Cellular and Molecular Life Sciences;journal;1420682X, 14209071;4.001;Q1;194;309;865;27930;6039;850;7.26;90,39;Switzerland;Birkhauser Verlag;1997-ongoing;"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)"
9;21195;Pharmacology and Therapeutics;journal;01637258;3.872;Q1;180;104;285;22992;3042;281;10.04;221,08;United Kingdom;Elsevier Ltd.;1975-1977, 1979-1985, 1987-ongoing;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
10;18017;Neuropsychopharmacology;journal;0893133X;3.3680000000000003;Q1;204;260;838;17476;5521;783;7.05;67,22;United Kingdom;Nature Publishing Group;1987-ongoing;"Pharmacology (Q1); Psychiatry and Mental Health (Q1)"
11;20681;Current Opinion in Pharmacology;journal;14714892;3.365;Q1;120;113;334;5804;2424;299;7.64;51,36;Netherlands;Elsevier BV;2001-ongoing;"Drug Discovery (Q1); Pharmacology (Q1)"
