Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2011);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;25491;Diabetes Care;journal;01495992;4.796;Q1;328;680;1844;15358;14639;1461;10.36;22,59;United States;American Diabetes Association;1978-ongoing;"Advanced and Specialized Nursing (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
2;29993;Annual Review of Nutrition;book series;01999885, 15454312;4.4110000000000005;Q1;142;17;56;2023;611;56;10.74;119,00;United States;Annual Reviews Inc.;1981-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
3;29990;American Journal of Clinical Nutrition;journal;00029165;3.6069999999999998;Q1;307;523;1507;18159;10497;1224;8.16;34,72;United States;American Society for Clinical Nutrition, Inc.;1952-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
4;20618;Stroke;journal;15244628, 00392499;3.5980000000000003;Q1;292;858;2239;33284;12677;1746;6.79;38,79;United States;Lippincott Williams & Wilkins Ltd.;1970-ongoing;"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)"
5;12697;International Journal of Obesity;journal;03070565, 14765497;2.6710000000000003;Q1;204;225;772;9144;4385;700;5.11;40,64;United Kingdom;Nature Publishing Group;1977-ongoing;"Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
6;14875;International Journal of Behavioral Nutrition and Physical Activity;journal;14795868;2.636;Q1;95;142;241;6374;1279;236;4.23;44,89;United Kingdom;BioMed Central;2004-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
7;23140;Current Opinion in Lipidology;journal;14736535, 09579672;2.603;Q1;116;95;317;3375;1269;196;6.59;35,53;United States;Lippincott Williams & Wilkins Ltd.;1990-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Cell Biology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Genetics (Q1); Molecular Biology (Q1); Nutrition and Dietetics (Q1)"
8;4700152825;Obesity;journal;19307381;2.28;Q1;177;378;1150;12344;5816;1067;5.06;32,66;United States;Wiley-Blackwell;2006-ongoing;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
9;68935;Nutrition Research Reviews;journal;09544224, 14752700;2.085;Q1;71;19;50;2435;282;45;5.03;128,16;United Kingdom;Cambridge University Press;1988-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
10;25334;Journal of Substance Abuse Treatment;journal;07405472;2.057;Q1;93;100;291;4250;1051;278;3.56;42,50;Netherlands;Elsevier BV;1984-ongoing;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
