Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;28773;CA - A Cancer Journal for Clinicians;journal;15424863, 00079235;47.288000000000004;Q1;144;40;118;3182;11012;95;124.82;79,55;United States;Wiley-Blackwell;1950-ongoing;"Hematology (Q1); Oncology (Q1)"
2;20651;Annual Review of Immunology;journal;15453278, 07320582;33.488;Q1;279;24;73;5036;3335;73;47.51;209,83;United States;Annual Reviews Inc.;1983-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
3;18991;Nature Reviews Genetics;journal;14710056, 14710064;24.23;Q1;320;162;522;8467;10690;307;41.56;52,27;United Kingdom;Nature Publishing Group;2000-ongoing;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
4;24004;Physiological Reviews;journal;15221210, 00319333;19.639;Q1;312;35;112;19909;4168;108;33.58;568,83;United States;American Physiological Society;1945-ongoing;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
5;12464;Nature Reviews Cancer;journal;1474175X;17.819000000000003;Q1;396;164;582;10117;9388;325;37.59;61,69;United Kingdom;Nature Publishing Group;2001-ongoing;"Cancer Research (Q1); Oncology (Q1)"
6;29093;Cancer Cell;journal;15356108;17.637999999999998;Q1;295;181;501;6111;9692;481;18.13;33,76;United States;Cell Press;2002-ongoing;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)"
7;21318;Nature Reviews Immunology;journal;14741733;17.428;Q1;351;206;550;8710;8557;305;37.58;42,28;United Kingdom;Nature Publishing Group;2001-ongoing;"Immunology (Q1); Medicine (miscellaneous) (Q1)"
8;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;17.297;Q1;134;12;8;1577;228;8;31.20;131,42;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
9;20095;Vital and health statistics. Series 23, Data from the National Survey of Family Growth;journal;02785234;16.901;Q1;13;0;5;0;163;5;18.00;0,00;United States;US Center for Health Statistics;1979-1982, 1986-1988, 1995, 1997-1998, 2001-2006, 2008, 2010-2012;"Family Practice (Q1); Public Health, Environmental and Occupational Health (Q1)"
10;11300153736;Annual Review of Pathology: Mechanisms of Disease;book series;15534006, 15534014;16.707;Q1;105;18;52;2941;1482;52;25.92;163,39;United States;Annual Reviews Inc.;2006-ongoing;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
11;22214;Genome Research;journal;15495469, 10889051;15.228;Q1;269;196;634;10553;10300;615;15.47;53,84;United States;Cold Spring Harbor Laboratory Press;1991-ongoing;"Genetics (Q1); Genetics (clinical) (Q1)"
12;21315;Nature Immunology;journal;15292908, 15292916;15.038;-;344;283;728;8185;11749;598;16.77;28,92;United Kingdom;Nature Publishing Group;2000-ongoing;Immunology (Q1)
13;15847;New England Journal of Medicine;journal;00284793, 15334406;14.796;Q1;933;1690;5085;16626;72619;2156;33.88;9,84;United States;Massachusetts Medical Society;1945-ongoing;Medicine (miscellaneous) (Q1)
14;20798;Immunity;journal;10974180, 10747613;14.618;Q1;355;251;645;11038;10661;620;16.50;43,98;United States;Cell Press;1994-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)"
15;12354;The Lancet Oncology;journal;14702045, 14745488;13.752;Q1;274;445;1042;9423;12101;381;31.33;21,18;United Kingdom;The Lancet Publishing Group;2000-ongoing;Oncology (Q1)
16;71709;Rhinology. Supplement;journal;10130047;13.222999999999999;Q1;5;0;3;0;130;3;79.00;0,00;Netherlands;International Rhinologic Society;1987-1989, 1991-1992, 1999-2001, 2005, 2010, 2012, 2014, 2017-ongoing;Medicine (miscellaneous) (Q1)
17;21272;Journal of Experimental Medicine;journal;00221007;12.387;Q1;411;218;709;11716;10489;652;15.69;53,74;United States;Rockefeller University Press;1945-ongoing;"Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1)"
18;16590;The Lancet;journal;01406736, 1474547X;12.11;Q1;700;1841;5360;22945;44500;1406;30.58;12,46;United Kingdom;The Lancet Publishing Group;1823-ongoing;Medicine (miscellaneous) (Q1)
19;16860;The Lancet Neurology;journal;14744422;11.392000000000001;Q1;259;245;718;8110;8189;272;26.81;33,10;United Kingdom;The Lancet Publishing Group;2002-ongoing;Neurology (clinical) (Q1)
20;22657;Accounts of Chemical Research;journal;00014842, 15204898;10.742;Q1;354;297;503;15015;11525;477;25.09;50,56;United States;American Chemical Society;1968-ongoing;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
21;20278;Microbiology and Molecular Biology Reviews;journal;10922172;10.549000000000001;-;229;27;80;7306;1475;77;16.63;270,59;United States;American Society for Microbiology;1997-ongoing;"Immunology and Microbiology (miscellaneous)  (Q1); Molecular Biology (Q1)"
22;29709;Reports on Progress in Physics;journal;13616633, 00344885;10.509;Q1;184;62;167;12236;2809;166;16.99;197,35;United Kingdom;Institute of Physics Publishing;1934-1942, 1944, 1947, 1949-ongoing;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
23;20313;Nature Reviews Microbiology;journal;17401526;10.211;-;250;178;562;8378;6237;339;20.89;47,07;United Kingdom;Nature Publishing Group;2003-ongoing;Immunology and Microbiology (miscellaneous)  (Q1)
24;4700152228;Molecular Systems Biology;journal;17444292;9.995;Q1;127;84;293;5283;3821;276;14.83;62,89;United States;Wiley-Blackwell;2005-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
25;22471;The Lancet Infectious Diseases;journal;14733099;9.868;Q1;201;313;731;6799;5203;222;23.41;21,72;United Kingdom;The Lancet Publishing Group;2001-ongoing;Infectious Diseases (Q1)
26;18555;Journal of Cell Biology;journal;00219525;9.702;Q1;353;369;1191;17389;11264;1020;9.79;47,12;United States;Rockefeller University Press;1962-ongoing;"Cell Biology (Q1); Medicine (miscellaneous) (Q1)"
27;19651;Clinical Microbiology Reviews;journal;08938512, 10986618;9.699;Q1;245;37;99;9134;2355;87;22.35;246,86;United States;American Society for Microbiology;1988-ongoing;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
28;15870;Journal of Clinical Investigation;journal;00219738;9.631;Q1;447;575;1520;27952;18695;1195;15.34;48,61;United States;American Society for Clinical Investigation;1945-ongoing;Medicine (miscellaneous) (Q1)
29;15819;Nature Medicine;journal;10788956;9.439;Q1;497;426;1546;11503;15552;998;15.53;27,00;United Kingdom;Nature Publishing Group;1995-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
30;22401;Journal of the American College of Cardiology;journal;07351097;9.281;Q1;394;1053;2855;26170;25253;1564;16.42;24,85;Netherlands;Elsevier BV;1983-ongoing;Cardiology and Cardiovascular Medicine (Q1)
31;17435;EMBO Journal;journal;02614189, 14602075;9.142999999999999;Q1;368;300;1262;14209;12114;1207;10.00;47,36;Germany;Wiley-Blackwell;1982-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
32;20810;Immunological Reviews;journal;01052896, 1600065X;8.875;Q1;197;116;331;15212;4558;313;14.84;131,14;United Kingdom;Blackwell Publishing Inc.;1969-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
33;19700174677;Science Translational Medicine;journal;19466234, 19466242;8.873;Q1;168;494;1385;11155;9587;625;15.78;22,58;United States;American Association for the Advancement of Science;2009-ongoing;Medicine (miscellaneous) (Q1)
34;26038;Endocrine Reviews;journal;0163769X;8.842;Q1;257;30;90;8312;1839;85;19.25;277,07;United States;The Endocrine Society;1980-ongoing;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
35;21100228547;JAMA Psychiatry;journal;21686238, 2168622X;8.408999999999999;Q1;335;189;457;7534;6711;403;14.92;39,86;United States;American Medical Association;2013-ongoing;"Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
36;29949;Journal of Clinical Oncology;journal;0732183X;8.389;Q1;494;1039;3598;25970;39292;2295;15.72;25,00;United States;American Society of Clinical Oncology;1983-ongoing;"Cancer Research (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)"
37;22581;Circulation;journal;00097322, 15244539;8.187999999999999;Q1;570;953;3237;30811;33017;2170;14.35;32,33;United States;Lippincott Williams & Wilkins Ltd.;1950-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1)"
38;27498;Annual Review of Medicine;journal;1545326X, 00664219;8.042;Q1;148;34;98;2441;1769;98;18.31;71,79;United States;Annual Reviews Inc.;1950-1958, 1960-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
39;21677;American Journal of Human Genetics;journal;15376605, 00029297;7.8629999999999995;Q1;280;238;724;8255;7493;578;12.50;34,68;United States;Cell Press;1950-ongoing;"Genetics (Q1); Genetics (clinical) (Q1)"
40;19708;FEMS Microbiology Reviews;journal;01686445;7.687;Q1;187;43;153;8451;2318;144;15.63;196,53;United Kingdom;Oxford University Press;1985-ongoing;"Infectious Diseases (Q1); Microbiology (Q1)"
41;21365;Trends in Immunology;journal;14714906, 14714981;7.595;Q1;209;75;229;6650;2717;220;13.91;88,67;Netherlands;Elsevier BV;1987-1990, 1993-1994, 2001-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
42;20089;Vital and health statistics. Series 10, Data from the National Health Survey;journal;00831972;7.454;Q1;42;3;11;75;246;11;21.50;25,00;United States;U.S. Dept. of Health, Education and Welfare, Public Health Service, Health Resources Administration, National Center for Health Statistics;1963-1965, 1976-2000, 2002-2014;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Statistics and Probability (Q1)"
43;4700152457;Nano Today;journal;17480132;7.372999999999999;Q1;119;62;195;5114;2320;124;18.30;82,48;Netherlands;Elsevier BV;2006-ongoing;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
44;20425;Nature Reviews Drug Discovery;journal;14741776;7.2829999999999995;Q1;289;214;728;7324;7570;415;20.00;34,22;United Kingdom;Nature Publishing Group;2002-ongoing;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)"
45;12459;Journal of the National Cancer Institute;journal;00278874;7.115;Q1;333;347;1098;9574;7140;498;14.07;27,59;United Kingdom;Oxford University Press;1945-ongoing;"Cancer Research (Q1); Oncology (Q1)"
46;4000151808;PLoS Genetics;journal;15537390, 15537404;7.107;Q1;194;874;1757;54135;15949;1746;8.79;61,94;United States;Public Library of Science;2005-ongoing;"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
47;21708;Annual Review of Genomics and Human Genetics;book series;15278204, 1545293X;7.087999999999999;Q1;104;26;56;3156;654;56;11.03;121,38;United States;Annual Reviews Inc.;2000-ongoing;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
48;23183;European Heart Journal;journal;15229645, 0195668X;6.997000000000001;Q1;265;670;1580;17736;16042;1136;14.02;26,47;United Kingdom;Oxford University Press;1980-ongoing;Cardiology and Cardiovascular Medicine (Q1)
49;17664;American Journal of Psychiatry;journal;0002953X;6.892;Q1;325;261;826;6459;6105;408;13.29;24,75;United States;American Psychiatric Publishing, Inc.;1945-ongoing;Psychiatry and Mental Health (Q1)
50;4600151524;Annual Review of Clinical Psychology;book series;15485951, 15485943;6.89;Q1;103;28;64;4051;1109;63;15.63;144,68;United States;Annual Reviews Inc.;2005-ongoing;"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
51;19897;European Urology;journal;03022838, 1421993X;6.749;Q1;187;490;1548;9908;9386;698;13.69;20,22;Netherlands;Elsevier BV;1975-ongoing;Urology (Q1)
52;85291;JAMA - Journal of the American Medical Association;journal;00987484;6.506;Q1;622;1387;3730;13899;26655;1835;13.17;10,02;United States;American Medical Association;1909, 1925, 1928-1929, 1935-1938, 1942, 1945-ongoing;Medicine (miscellaneous) (Q1)
53;25454;Blood;journal;15280020, 00064971;6.4670000000000005;Q1;426;1444;5379;47517;44554;4244;10.17;32,91;United States;American Society of Hematology;1946-ongoing;"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)"
54;17382;Molecular Psychiatry;journal;14765578, 13594184;6.393;Q1;196;212;471;10087;4753;347;13.72;47,58;United Kingdom;Nature Publishing Group;1996-ongoing;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)"
55;23063;Circulation Research;journal;00097330, 15244571;6.385;Q1;306;395;1182;17488;11057;945;10.95;44,27;United States;Lippincott Williams & Wilkins Ltd.;1953-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)"
56;14317;Brain;journal;14602156, 00068950;6.202999999999999;Q1;308;361;1069;17706;10486;852;11.61;49,05;United Kingdom;Oxford University Press;1878-1910, 1917-ongoing;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
57;3600148102;Alzheimer's and Dementia;journal;15525279, 15525260;6.16;Q1;94;112;234;5482;3041;192;17.86;48,95;Netherlands;Elsevier BV;2005-ongoing;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
58;18797;Current Opinion in Immunology;journal;09527915;6.127999999999999;Q1;177;119;356;6370;3220;320;9.63;53,53;Netherlands;Elsevier BV;1988-ongoing;"Immunology (Q1); Immunology and Allergy (Q1)"
59;21100242814;eLife;journal;2050084X;6.086;Q1;93;328;45;13352;249;42;5.93;40,71;United Kingdom;eLife Sciences Publications;2012-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
