Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2014);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;11300153736;Annual Review of Pathology: Mechanisms of Disease;journal;15534006, 15534014;14.076;Q1;132;15;57;2223;1478;57;20.78;148.2;United States;Northern America;Annual Reviews Inc.;2006-2021;"Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1); Plant Science (Q1)"
2;16721;Annual Review of Plant Biology;journal;15452123, 15435008;12.897;Q1;272;29;83;4444;2140;83;25.68;153.24;United States;Northern America;Annual Reviews Inc.;1996-2021;"Cell Biology (Q1); Molecular Biology (Q1); Physiology (Q1); Plant Science (Q1)"
3;14365;Trends in Ecology and Evolution;journal;01695347, 18728383;10.425;Q1;357;107;386;6169;4176;234;10.66;57.65;United Kingdom;Western Europe;Elsevier Ltd.;1986-2021;Ecology, Evolution, Behavior and Systematics (Q1)
4;4700152228;Molecular Systems Biology;journal;17444292;10.188;Q1;156;55;252;3665;3450;243;10.81;66.64;United States;Northern America;Wiley-Blackwell;2005-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
5;12216;Molecular Biology and Evolution;journal;15371719, 07374038;9.022;Q1;228;314;839;16790;12983;823;9.46;53.47;United Kingdom;Western Europe;Oxford University Press;1983-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
6;14305;Systematic Biology;journal;1076836X, 10635157;9.003;Q1;188;73;207;4861;2699;192;14.81;66.59;United Kingdom;Western Europe;Oxford University Press;1952, 1968-1975, 1977-1978, 1980-1982, 1984, 1986, 1988-1989, 1991-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
7;14599;Ecology Letters;journal;1461023X, 14610248;8.572;Q1;282;164;501;8870;6160;492;11.05;54.09;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1998-2021;Ecology, Evolution, Behavior and Systematics (Q1)
8;40944;Genome Biology;journal;14747596;8.497;Q1;264;278;643;8873;6185;557;8.97;31.92;United Kingdom;Western Europe;BioMed Central Ltd.;2000-2021;"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
9;19133;Annual Review of Entomology;journal;00664170, 15454487;7.805;Q1;209;28;79;3491;1335;78;15.19;124.68;United States;Northern America;Annual Reviews Inc.;1961-1963, 1966-1967, 1969-1979, 1981-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
10;4000151808;PLoS Genetics;journal;15537390, 15537404;7.009;Q1;244;807;2153;51874;18376;2141;7.81;64.28;United States;Northern America;Public Library of Science;2005-2021;"Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
11;12977;PLoS Biology;journal;15449173, 15457885;6.814;Q1;281;265;780;12314;6359;751;7.06;46.47;United States;Northern America;Public Library of Science;2003-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)"
12;17809;Trends in Plant Science;journal;13601385, 18784372;6.791;Q1;278;127;268;7263;3949;262;13.39;57.19;United Kingdom;Western Europe;Elsevier Ltd.;1996-2021;Plant Science (Q1)
13;9500153903;Biological Reviews;journal;1469185X, 14647931;6.124;Q1;174;53;155;10501;1704;154;10.28;198.13;United States;Northern America;Wiley-Blackwell;1924-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
14;110325;Annual Review of Ecology, Evolution, and Systematics;book series;1543592X;5.987;Q1;223;27;79;3646;790;79;11.24;135.04;United States;Northern America;Annual Reviews Inc.;2003-2020;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
15;16715;Annual Review of Phytopathology;journal;00664286, 15452107;5.919;Q1;167;25;76;3689;1116;76;11.12;147.56;United States;Northern America;Annual Reviews Inc.;1973, 1981, 1987, 1989-2021;Plant Science (Q1)
16;16594;Plant Cell;journal;1532298X, 10404651;5.771;Q1;360;357;1084;22898;10368;1015;8.77;64.14;United States;Northern America;American Society of Plant Biologists;1989-2021;"Cell Biology (Q1); Plant Science (Q1)"
17;5800173382;ISME Journal;journal;17517362, 17517370;5.369;Q1;191;216;612;11804;6099;593;9.83;54.65;United Kingdom;Western Europe;Nature Publishing Group;2007-2021;"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)"
18;17269;Studies in Mycology;journal;01660616;5.291;Q1;102;14;42;1587;542;41;16.5;113.36;Netherlands;Western Europe;Westerdijk Fungal Biodiversity Institute;1996, 1998-2000, 2002-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Plant Science (Q1)"
19;64345;Ecological Monographs;journal;00129615;5.124;Q1;161;30;83;3442;748;80;7.32;114.73;United States;Northern America;Wiley-Blackwell;1974-1977, 1979-1980, 1987-2021;Ecology, Evolution, Behavior and Systematics (Q1)
20;17924;Current Opinion in Plant Biology;journal;18790356, 13695266;5.115;Q1;213;119;315;6772;2869;296;8.12;56.91;United Kingdom;Western Europe;Elsevier Ltd.;1998-2022;Plant Science (Q1)
21;144675;Frontiers in Ecology and the Environment;journal;15409295, 15409309;4.621;Q1;174;155;590;2628;1948;197;3.02;16.95;United States;Northern America;Wiley-Blackwell;2003-2021;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
22;15537;Current Biology;journal;18790445, 09609822;4.519;Q1;331;791;2145;23639;11927;1969;5.37;29.88;United States;Northern America;Cell Press;1991-2021;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
23;22044;Global Ecology and Biogeography;journal;14668238, 1466822X;4.452;Q1;163;136;311;7468;2376;304;6.8;54.91;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1998-2021;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Global and Planetary Change (Q1)"
