Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23571;Science;journal;10959203, 00368075;13.745;Q1;1229;1954;6121;37175;104096;4635;16.11;19.03;United States;Northern America;American Association for the Advancement of Science;1880-1881, 1883-2021;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;16036;Administrative Science Quarterly;journal;00018392, 19303815;11.093;Q1;191;23;65;1686;488;60;5.72;73.3;United States;Northern America;Johnson School at Cornell University;1975-1987, 1989-1990, 1993-1994, 1996-2021;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
3;13443;Psychological Bulletin;journal;00332909, 19391455;9.348;Q1;328;47;164;11015;2758;144;16.29;234.36;United States;Northern America;American Psychological Association;1904-2021;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
4;22738;Philosophy and Public Affairs;journal;10884963, 00483915;7.045;Q1;73;10;33;488;145;30;2.45;48.8;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1973-1982, 1984-1986, 1988-2001, 2003-2021;"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)"
5;22899;Journal of Consumer Research;journal;00935301, 15375277;5.694;Q1;194;60;222;3776;1363;212;4.85;62.93;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
6;13467;Psychological Review;journal;19391471, 0033295X;5.527;Q1;220;39;103;3988;857;99;7.34;102.26;United States;Northern America;American Psychological Association;1894-2021;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
7;13461;Psychological Methods;journal;1082989X, 19391463;4.682;Q1;162;37;92;2339;549;91;4.02;63.22;United States;Northern America;American Psychological Association;1996-2021;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
8;22845;Radiocarbon;journal;00338222;4.154;Q1;86;62;402;2466;2024;388;1.47;39.77;United States;Northern America;Cambridge University Press;1980, 1982, 1989-2021;"Archeology (arts and humanities) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1)"
9;26107;Philosophical Review, The;journal;00318108;3.98;Q1;60;12;35;655;80;35;1.64;54.58;United States;Northern America;Duke University Press;1970, 1977-1978, 1984, 1996-2021;Philosophy (Q1)
10;28973;Journal of Econometrics;journal;03044076;3.203;Q1;166;152;445;6416;996;435;1.99;42.21;Netherlands;Western Europe;Elsevier BV;1973-2021;"Applied Mathematics (Q1); Economics and Econometrics (Q1); History and Philosophy of Science (Q1)"
11;15670;Journal of Peasant Studies;journal;03066150, 17439361;2.946;Q1;90;57;160;4591;744;143;4.64;80.54;United Kingdom;Western Europe;Routledge;1973-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)"
12;25403;Mind;journal;00264423, 14602113;2.934;Q1;58;40;85;1545;121;83;1.22;38.63;United Kingdom;Western Europe;Oxford University Press;1876-1901, 1903, 1908, 1911-1913, 1921-1951, 1959-1960, 1963-1965, 1967, 1970-2021;Philosophy (Q1)
13;5700169428;Nous;journal;14680068, 00294624;2.846;Q1;73;35;114;1500;226;114;1.77;42.86;United States;Northern America;Wiley-Blackwell;1989, 1996-2021;Philosophy (Q1)
14;14925;Gender and Society;journal;08912432, 15523977;2.839;Q1;109;39;106;2116;461;106;4.13;54.26;United States;Northern America;SAGE Publications Inc.;1987-2021;"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
15;26239;Quaternary Science Reviews;journal;02773791;2.795;Q1;192;372;995;36796;5251;950;4.98;98.91;United Kingdom;Western Europe;Elsevier Ltd.;1982-2021;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
16;12773;British Journal of Mathematical and Statistical Psychology;journal;00071102, 20448317;2.546;Q1;53;19;82;645;308;74;4.31;33.95;United States;Northern America;Wiley-Blackwell;1965-2021;"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Statistics and Probability (Q1)"
17;83061;Journal of Archaeological Research;journal;15737756, 10590161;2.543;Q1;58;8;26;3307;128;26;4.67;413.38;United States;Northern America;Springer New York;1993-2021;"Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)"
18;17530;Social Forces;journal;15347605, 00377732;2.31;Q1;137;65;172;4340;513;172;2.78;66.77;United Kingdom;Western Europe;Oxford University Press;1925-2021;"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)"
19;21754;Annals of the New York Academy of Sciences;journal;17496632, 00778923;2.294;Q1;261;263;859;20833;4328;829;5.04;79.21;United States;Northern America;Wiley-Blackwell;1879, 1882-1883, 1889-1890, 1892-1894, 1896-1901, 1904-1906, 1908-1909, 1911-1912, 1914-1916, 1918, 1920, 1927, 1929-1933, 1936-1937, 1939-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); History and Philosophy of Science (Q1); Neuroscience (miscellaneous) (Q1)"
20;22861;Political Psychology;journal;0162895X, 14679221;2.262;Q1;102;59;157;3522;521;156;3.45;59.69;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1996-2021;"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
21;21503;Evolution and Human Behavior;journal;10905138;2.166;Q1;119;58;206;3920;809;194;3.38;67.59;United States;Northern America;Elsevier Inc.;1997-2021;"Arts and Humanities (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Experimental and Cognitive Psychology (Q1)"
22;12996;IEEE Signal Processing Magazine;journal;10535888;2.158;Q1;191;84;321;2489;3224;268;8.9;29.63;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1991-2021;"Applied Mathematics (Q1); Electrical and Electronic Engineering (Q1); Music (Q1); Signal Processing (Q1)"
23;23626;Science Education;journal;00368326, 1098237X;2.151;Q1;121;45;131;3036;400;130;2.67;67.47;United States;Northern America;Wiley-Liss Inc.;1930-2021;"Education (Q1); History and Philosophy of Science (Q1)"
24;14062;Psychonomic Bulletin and Review;journal;10699384, 15315320;2.141;Q1;159;203;528;10183;1821;526;2.88;50.16;United States;Northern America;Springer New York;1994-2021;"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)"
25;15653;Journal of Marriage and Family;journal;17413737, 00222445;2.112;Q1;168;89;240;4694;796;238;3.05;52.74;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1973-1978, 1980-1981, 1985, 1996-2021;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
26;14852;Intelligence;journal;01602896;2.107;Q1;98;83;314;4490;1111;299;3.35;54.1;United Kingdom;Western Europe;Elsevier Ltd.;1977-2021;"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)"
27;13422;Psychoanalytic Quarterly;journal;00332828, 21674086;2.099;Q1;41;55;112;1237;66;104;0.41;22.49;United Kingdom;Western Europe;Taylor and Francis Ltd.;1945-2021;"Arts and Humanities (miscellaneous) (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
28;22857;Political Geography;journal;09626298;2.098;Q1;102;63;164;4298;511;137;2.58;68.22;United Kingdom;Western Europe;Elsevier BV;1983, 1992-2022;"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)"
