Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;18991;Nature Reviews Genetics;journal;14710056, 14710064;34.247;Q1;320;150;442;8029;7633;182;42.89;53,53;United Kingdom;Nature Publishing Group;2000-ongoing;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
2;20315;Nature Reviews Molecular Cell Biology;journal;14710072, 14710080;29.697;Q1;386;144;452;9130;8667;219;44.69;63,40;United Kingdom;Nature Publishing Group;2000-ongoing;"Cell Biology (Q1); Molecular Biology (Q1)"
3;18434;Cell;journal;00928674, 10974172;27.691;Q1;705;696;1871;29468;45047;1677;25.17;42,34;United States;Cell Press;1974-ongoing;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
4;12464;Nature Reviews Cancer;journal;1474175X;22.315;Q1;396;111;455;9909;8227;205;34.62;89,27;United Kingdom;Nature Publishing Group;2001-ongoing;"Cancer Research (Q1); Oncology (Q1)"
5;18990;Nature Genetics;journal;10614036;21.979;Q1;527;259;904;10963;20852;724;24.55;42,33;United Kingdom;Nature Publishing Group;1992-ongoing;Genetics (Q1)
6;16115;Nature Biotechnology;journal;10870156;20.666;Q1;399;346;1119;6400;16297;556;26.17;18,50;United Kingdom;Nature Publishing Group;1990-ongoing;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)"
7;21100778827;Nature Methods;journal;15487091, 15487105;20.494;Q1;257;292;1088;5962;14804;598;21.6;20,42;United Kingdom;Nature Publishing Group;2004-ongoing;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)"
8;16801;Annual Review of Biochemistry;journal;15454509, 00664154;20.325;Q1;268;29;94;4508;2264;94;21.48;155,45;United States;Annual Reviews Inc.;1950-1960, 1962-ongoing;Biochemistry (Q1)
9;24004;Physiological Reviews;journal;15221210, 00319333;17.282;Q1;312;31;113;13346;3570;108;27.51;430,52;United States;American Physiological Society;1945-ongoing;"Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)"
10;15819;Nature Medicine;journal;10788956;14.994000000000002;Q1;497;285;1068;9997;17068;787;22.89;35,08;United Kingdom;Nature Publishing Group;1995-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
