Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;MMWR Recommendations and Reports;journal;10575987, 15458601;24.501;Q1;148;6;21;1456;865;21;53.5;242.67;United States;Northern America;Centers for Disease Control and Prevention (CDC);1990-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;73008;Vital and health statistics. Series 2, Data evaluation and methods research;journal;00832057, 23330872;8.927;Q1;28;3;15;47;179;15;6.7;15.67;United States;Northern America;U.S. National Center for Health Statistics;1965, 1970, 1977-1982, 1985-1989, 1991-1994, 1996-2001, 2003-2006, 2008, 2010-2021;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
3;71056;MMWR Surveillance Summaries;journal;15458636, 15460738;8.881;Q1;104;14;111;632;1862;105;21.52;45.14;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
4;20088;Vital and health statistics. Ser. 1: Programs and collection procedures;journal;00832014, 23328401;7.586;Q1;17;0;3;0;52;3;2;0;United States;Northern America;U.S. National Center for Health Statistics;1963-1978, 1981, 1985-1987, 1989-1990, 1992-1994, 1997, 1999, 2002-2003, 2005, 2007-2015, 2017-2021;"Health Information Management (Q1); Statistics and Probability (Q1)"
5;110092;Morbidity and Mortality Weekly Report;journal;01492195, 1545861X;7.262;Q1;228;403;828;2889;6601;546;8.68;7.17;United States;Northern America;Department of Health and Human Services;1981-2021;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
6;23845;Journal of Cardiovascular Magnetic Resonance;journal;1532429X, 10976647;3.707;Q1;102;353;326;3377;1970;325;5.28;9.57;United Kingdom;Western Europe;BioMed Central Ltd.;1999-2021;"Cardiology and Cardiovascular Medicine (Q1); Family Practice (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
7;19817;British Journal of Sports Medicine;journal;03063674, 14730480;3.518;Q1;189;364;963;10403;5545;738;5.31;28.58;United Kingdom;Western Europe;BMJ Publishing Group;1964, 1974-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
8;19799;American Journal of Sports Medicine;journal;03635465, 15523365;3.494;Q1;236;425;1155;14126;6927;1017;5.78;33.24;United States;Northern America;SAGE Publications Inc.;1973-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
9;20373;Sports Medicine;journal;01121642, 11792035;3.297;Q1;201;145;380;10706;2909;338;7.05;73.83;Switzerland;Western Europe;Springer International Publishing AG;1984-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
10;12198;Journal of Bone and Joint Surgery - Series A;journal;15351386, 00219355;2.921;Q1;274;381;1378;10516;6240;1120;4.14;27.6;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1946-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
11;16101;Human Brain Mapping;journal;10659471, 10970193;2.804;Q1;199;325;1086;22790;5848;1086;5.1;70.12;United States;Northern America;Wiley-Liss Inc.;1993-2021;"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
12;14231;Statistical Methods in Medical Research;journal;14770334, 09622802;2.724;Q1;91;184;142;5964;451;129;2.24;32.41;United Kingdom;Western Europe;SAGE Publications Ltd;1992-2021;"Epidemiology (Q1); Health Information Management (Q1); Statistics and Probability (Q1)"
13;28645;Ultrasound in Obstetrics and Gynecology;journal;09607692, 14690705;2.665;Q1;151;292;856;6282;2915;572;3.12;21.51;United Kingdom;Western Europe;John Wiley and Sons Ltd;1991-2021;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)"
14;38062;Exercise Immunology Review;journal;10775552;2.603;Q1;59;8;33;1000;223;29;7.17;125;United States;Northern America;Human Kinetics Publishers Inc.;1996-2021;"Immunology (Q1); Sports Science (Q1)"
15;14875;International Journal of Behavioral Nutrition and Physical Activity;journal;14795868;2.583;Q1;129;127;468;6588;2562;464;5.02;51.87;United Kingdom;Western Europe;BioMed Central Ltd.;2004-2021;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
16;15222;Arthroscopy - Journal of Arthroscopic and Related Surgery;journal;07498063, 15263231;2.206;Q1;172;447;944;10959;4028;724;3.77;24.52;United Kingdom;Western Europe;W.B. Saunders Ltd;1985-2021;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
17;23478;Journal of Physiology;journal;00223751, 14697793;2.192;Q1;249;596;1420;35799;5399;1215;3.64;60.07;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1878-2021;"Physiology (Q1); Sports Science (Q1)"
18;29603;Clinical Orthopaedics and Related Research;journal;15281132, 0009921X;2.136;Q1;217;472;1880;8990;5843;1599;3.02;19.05;United States;Northern America;Springer New York;1963-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
19;21723;Journal of Shoulder and Elbow Surgery;journal;15326500, 10582746;2.13;Q1;152;338;945;10046;3322;897;3.34;29.72;United States;Northern America;Mosby Inc.;1992-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
20;12164;Brain and Language;journal;10902155, 0093934X;2.097;Q1;129;64;350;4228;1254;343;2.66;66.06;United States;Northern America;Academic Press Inc.;1974-2021;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1)"
21;13068;Spine;journal;03622436, 15281159;2.07;Q1;266;563;1715;15296;5255;1545;2.55;27.17;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1976-2021;"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
22;21100241208;Bone and Joint Journal;journal;20494408, 20494394;2.067;Q1;189;299;950;9937;3304;893;3.24;33.23;United Kingdom;Western Europe;British Editorial Society of Bone and Joint Surgery;2013-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
23;13679;Ear and Hearing;journal;15384667, 01960202;2.067;Q1;115;133;340;6709;1154;329;3.03;50.44;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1980-2021;"Otorhinolaryngology (Q1); Speech and Hearing (Q1)"
24;19894;Medicine and Science in Sports and Exercise;journal;15300315, 01959131;2.052;Q1;238;309;936;12124;4014;878;4;39.24;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1969-2021;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
25;19842;Exercise and Sport Sciences Reviews;journal;15383008, 00916331;1.959;Q1;107;24;103;749;416;77;3.88;31.21;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1973-2021;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
26;17271;Medical Image Analysis;journal;13618415, 13618423;1.948;Q1;143;105;319;4203;1931;314;5.16;40.03;Netherlands;Western Europe;Elsevier;1996-2021;"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
27;19890;Knee Surgery, Sports Traumatology, Arthroscopy;journal;09422056, 14337347;1.901;Q1;134;535;1361;17961;4749;1286;3.27;33.57;Germany;Western Europe;Springer Verlag;1993-2021;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
28;14000156196;International Journal of Sports Physiology and Performance;journal;15550265, 15550273;1.834;Q1;76;170;424;4777;1257;401;2.73;28.1;United States;Northern America;Human Kinetics Publishers Inc.;2006-2021;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
29;19874;Journal of Science and Medicine in Sport;journal;18781861, 14402440;1.797;Q1;108;191;384;5401;1544;364;3.99;28.28;Netherlands;Western Europe;Elsevier BV;1998-2021;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
30;14352;Brain Topography;journal;15736792, 08960267;1.752;Q1;76;70;196;4191;719;194;3.64;59.87;United States;Northern America;Kluwer Academic/Human Sciences Press Inc.;1988-2021;"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
31;20346;Scandinavian Journal of Medicine and Science in Sports;journal;16000838, 09057188;1.688;Q1;123;165;578;6561;2074;563;3.41;39.76;Denmark;Western Europe;Blackwell Munksgaard;1991-2021;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
32;21100327967;Trends in hearing;journal;23312165;1.629;Q1;54;60;52;2478;177;52;3.38;41.3;United States;Northern America;SAGE Publications Inc.;2013-2021;"Otorhinolaryngology (Q1); Speech and Hearing (Q1)"
33;12257;Journal of Orthopaedic Trauma;journal;08905339, 15312291;1.614;Q1;128;253;737;6250;1558;641;2.09;24.7;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1987-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
34;16733;IEEE Transactions on Medical Imaging;journal;02780062, 1558254X;1.596;Q1;233;232;600;10313;3169;595;4.86;44.45;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1982-2021;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)"
35;23454;Journal of Applied Physiology;journal;87507587, 15221601;1.579;Q1;240;383;1282;16817;3825;1070;2.89;43.91;United States;Northern America;American Physiological Society;1948-1976, 1985-2021;"Medicine (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Sports Science (Q1)"
36;17900156719;International Review of Sport and Exercise Psychology;journal;1750984X, 17509858;1.576;Q1;45;8;38;684;215;35;3.68;85.5;United Kingdom;Western Europe;Routledge;2009-2021;"Applied Psychology (Q1); Sports Science (Q1)"
37;19871;Journal of Athletic Training;journal;10626050, 1938162X;1.521;Q1;117;124;364;4629;1089;352;2.58;37.33;United States;Northern America;National Athletic Trainers' Association Inc.;1996-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
38;22609;Journal of Learning Disabilities;journal;15384780, 00222194;1.509;Q1;96;46;133;3010;410;132;2.53;65.43;United States;Northern America;SAGE Publications Inc.;1973-2021;"Education (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1)"
39;16270;Archives of Physical Medicine and Rehabilitation;journal;1532821X, 00039993;1.506;Q1;197;314;1081;12358;3494;943;3.14;39.36;United Kingdom;Western Europe;W.B. Saunders Ltd;1945-2021;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q1)"
40;12100156754;Sport Management Review;journal;14413523;1.493;Q1;63;47;132;2854;445;130;2.72;60.72;Netherlands;Western Europe;Elsevier BV;1998-2021;"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)"
41;30091;Journal of Sport and Exercise Psychology;journal;08952779, 15432904;1.41;Q1;106;51;159;2443;543;156;2.97;47.9;United States;Northern America;Human Kinetics Publishers Inc.;1996-2021;"Applied Psychology (Q1); Sports Science (Q1)"
42;19873;Journal of Orthopaedic and Sports Physical Therapy;journal;19381344, 01906011;1.393;Q1;127;159;417;5276;1028;305;2.24;33.18;United States;Northern America;Movement Science Media;1979-2021;"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
43;29203;Physics in Medicine and Biology;journal;00319155, 13616560;1.381;Q1;198;530;1672;20575;5540;1657;2.95;38.82;United Kingdom;Western Europe;IOP Publishing Ltd.;1956-2021;"Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
44;4000148206;Journal of Neurologic Physical Therapy;journal;15570584, 15570576;1.38;Q1;55;33;87;1288;204;70;2;39.03;United States;Northern America;Lippincott Williams and Wilkins Ltd.;2004-2021;"Geriatrics and Gerontology (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
45;14033;Psychology of Sport and Exercise;journal;14690292;1.38;Q1;99;134;295;7134;1222;286;3.8;53.24;Netherlands;Western Europe;Elsevier BV;2000-2022;"Applied Psychology (Q1); Sports Science (Q1)"
46;13738;International Journal of Audiology;journal;14992027, 17088186;1.377;Q1;85;132;398;4601;904;374;2.02;34.86;United Kingdom;Western Europe;Taylor and Francis Ltd.;1962-2021;"Linguistics and Language (Q1); Speech and Hearing (Q1)"
47;21100464901;Neurophotonics;journal;2329423X, 23294248;1.368;Q1;39;54;88;2871;252;79;2.86;53.17;United States;Northern America;SPIE;2014-2021;"Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Neuroscience (miscellaneous) (Q2)"
48;21100286407;2013 IEEE Workshop on Automatic Speech Recognition and Understanding, ASRU 2013 - Proceedings;conference and proceedings;-;1.365;-;26;0;81;0;456;80;0;0;United States;Northern America;;;Speech and Hearing
49;19864;International Journal of Sports Medicine;journal;01724622, 14393964;1.364;Q1;112;150;572;5093;1402;560;2.19;33.95;Germany;Western Europe;Georg Thieme Verlag;1980-2021;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
50;25545;Diabetes Technology and Therapeutics;journal;15209156, 15578593;1.361;Q1;91;243;827;3621;1305;390;1.59;14.9;United States;Northern America;Mary Ann Liebert Inc.;1999-2021;"Endocrinology, Diabetes and Metabolism (Q1); Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Endocrinology (Q2)"
51;15506;Journal of Fluency Disorders;journal;0094730X, 1873801X;1.357;Q1;59;23;73;1297;200;68;2.89;56.39;United States;Northern America;Elsevier Inc.;1974, 1977-2021;"Linguistics and Language (Q1); LPN and LVN (Q1); Speech and Hearing (Q1); Cognitive Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)"
52;19889;Journal of Strength and Conditioning Research;journal;10648011, 15334287;1.354;Q1;140;430;1353;15316;3464;1346;2.32;35.62;United States;Northern America;NSCA National Strength and Conditioning Association;1987-2021;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
53;12218;Journal of Head Trauma Rehabilitation;journal;08859701, 1550509X;1.313;Q1;103;85;243;4426;782;227;3.05;52.07;United States;Northern America;Lippincott Williams and Wilkins Ltd.;1986-2021;"Neurology (clinical) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
54;13625;Audiology and Neuro-Otology;journal;14203030, 14219700;1.31;Q1;81;42;156;1178;404;152;2.42;28.05;Switzerland;Western Europe;S. Karger AG;1996-2021;"Medicine (miscellaneous) (Q1); Otorhinolaryngology (Q1); Speech and Hearing (Q1); Physiology (Q2); Sensory Systems (Q2)"
55;22481;Journal of Phonetics;journal;00954470, 10958576;1.3;Q1;87;47;149;3158;306;147;2.04;67.19;United States;Northern America;Academic Press Inc.;1995-2021;"Linguistics and Language (Q1); Speech and Hearing (Q1)"
