Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2016);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories;Unnamed: 19
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;24.501;Q1;134;6;22;1456;785;22;48.8;242.67;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";
2;19700180594;Handbook of International Economics;book series;15734404;23.296;Q1;10;0;15;0;160;0;0;0;Netherlands;North-Holland Publ Co;1984-1985, 1995, 2014-2015;"Economics and Econometrics (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); Political Science and International Relations (Q1)";
3;58530;National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System;journal;15518922, 15518930;20.52;Q1;89;12;32;359;1066;32;29.19;29.92;United States;US Department of Health and Human Services;1998-ongoing;Life-span and Life-course Studies (Q1);
4;16036;Administrative Science Quarterly;journal;18392;11.093;Q1;165;24;70;1925;489;60;6.19;80.21;United States;Cornell University Press;1975-1987, 1989-1990, 1993-1994, 1996-ongoing;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";
5;17700156441;Handbook of Public Economics;book series;15734420;10.934;Q1;21;0;11;0;54;2;0;0;Netherlands;Elsevier BV;1985, 1987, 2002, 2013;"Economics and Econometrics (Q1); Finance (Q1); Sociology and Political Science (Q1)";
6;15555;American Journal of Political Science;journal;00925853, 15405907;10.088;Q1;150;72;200;3720;1239;200;5.62;51.67;United Kingdom;Blackwell Publishing Inc.;1982, 1986, 1996-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
7;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;8.881;Q1;90;14;112;632;1727;105;21.11;45.14;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";
8;21100198409;Nature Climate Change;journal;17586798, 1758678X;8.433;Q1;136;283;921;8944;9954;583;15.3;31.6;United Kingdom;Nature Publishing Group;2011-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";
9;15557;American Political Science Review;journal;15375943, 00030554;7.869;Q1;159;56;167;4079;864;148;3.87;72.84;United Kingdom;Cambridge University Press;1906-ongoing;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";
10;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;7.262;Q1;182;396;918;2925;6440;551;12.17;7.39;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";
