Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;23571;Science;journal;00368075;14,142;Q1;1058;2718;6168;36863;103204;4448;23,61;13,56;United States;American Association for the Advancement of Science;1880-ongoing;"History and Philosophy of Science (Q1); Multidisciplinary (Q1)"
2;16036;Administrative Science Quarterly;journal;00018392;10,187;Q1;165;24;74;2123;509;62;6,71;88,46;United States;Cornell University Press;1975-1987, 1989-1990, 1993-1994, 1996-ongoing;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
3;13443;Psychological Bulletin;journal;00332909;8,793;Q1;272;49;158;12074;2703;143;13,90;246,41;United States;American Psychological Association;1904-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
4;22899;Journal of Consumer Research;journal;00935301, 15375277;5,856;Q1;155;69;211;5039;1017;196;4,06;73,03;United Kingdom;Oxford University Press;1977-1978, 1984, 1996-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
5;28973;Journal of Econometrics;journal;03044076;5,191;Q1;135;138;505;5378;1004;492;1,79;38,97;Netherlands;Elsevier BV;1973-ongoing;"Applied Mathematics (Q1); Economics and Econometrics (Q1); History and Philosophy of Science (Q1)"
6;13467;Psychological Review;journal;0033295X;4,640;Q1;192;37;109;4089;744;93;7,39;110,51;United States;American Psychological Association;1894-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
7;15613;Journal of Communication;journal;00219916, 14602466;4,411;Q1;112;51;177;2549;964;168;3,50;49,98;United States;Wiley-Blackwell;1951-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
8;5700169428;Nous;journal;14680068, 00294624;4,041;Q1;55;56;113;1629;309;112;2,63;29,09;United States;Wiley-Blackwell;1989, 1996-ongoing;Philosophy (Q1)
9;13461;Psychological Methods;journal;1082989X;4,020;Q1;131;48;108;3144;625;101;5,84;65,50;United States;American Psychological Association;1996-ongoing;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
10;15670;Journal of Peasant Studies;journal;03066150;3,368;Q1;68;63;167;4241;913;152;4,40;67,32;United Kingdom;Frank Cass Publishers;1973-ongoing;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)"
11;130087;Annual Review of Applied Linguistics;journal;02671905;3,223;Q1;37;17;38;823;191;37;6,46;48,41;United Kingdom;Cambridge University Press;2005-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1); Psychology (miscellaneous) (Q1)"
12;26107;The Philosophical Review;journal;00318108;3,101;Q1;51;11;35;677;72;34;1,55;61,55;United States;Duke University Press;1970, 1977-1978, 1984, 1996-ongoing;Philosophy (Q1)
13;12773;British Journal of Mathematical and Statistical Psychology;journal;00071102;3,074;Q1;45;26;68;1076;327;68;1,31;41,38;United States;Wiley-Blackwell;1965-ongoing;"Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Statistics and Probability (Q1)"
14;22497;Journal of Second Language Writing;journal;10603743;3,066;Q1;64;34;77;1082;253;59;4,26;31,82;United Kingdom;Elsevier Ltd.;1992-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
15;18651;Applied Linguistics;journal;01426001, 1477450X;2,987;Q1;84;43;115;2208;371;113;3,11;51,35;United Kingdom;Oxford University Press;1980-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
16;21100256974;Philosophers Imprint;journal;1533628X;2,953;Q1;13;25;85;1147;125;79;1,51;45,88;United States;University of Michigan Press;2012-ongoing;Philosophy (Q1)
17;5800207673;ReCALL;journal;09583440;2,813;Q1;42;22;65;899;183;57;2,25;40,86;United Kingdom;Cambridge University Press;1989-ongoing;"Computer Science Applications (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
18;26239;Quaternary Science Reviews;journal;02773791;2,668;Q1;164;321;1059;32328;4955;1002;4,45;100,71;United Kingdom;Elsevier Ltd.;1982-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Geology (Q1); Global and Planetary Change (Q1)"
19;12857;Cognition;journal;00100277;2,455;Q1;165;233;634;14545;2452;610;3,57;62,42;Netherlands;Elsevier BV;1972-1974, 1976-ongoing;"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
20;14925;Gender and Society;journal;08912432;2,434;Q1;89;30;111;1556;408;107;2,72;51,87;United States;SAGE Publications;1987-ongoing;"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
21;23167;Language Teaching Research;journal;13621688, 14770954;2,428;Q1;45;40;116;1779;261;93;2,49;44,48;United States;SAGE Publications;1997-ongoing;"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
22;19936;Communication Theory;journal;14682885, 10503293;2,424;Q1;67;21;77;1245;290;69;3,30;59,29;United States;Wiley-Blackwell;1991-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
23;12711;Multivariate Behavioral Research;journal;00273171, 15327906;2,401;Q1;70;59;163;2295;457;153;3,13;38,90;United States;Lawrence Erlbaum Associates Inc.;1966-ongoing;"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
24;100147338;Modern Language Journal;journal;00267902;2,345;Q1;68;51;166;2784;470;143;3,03;54,59;United States;Wiley-Blackwell;1916-1996, 1998-2001, 2005-ongoing;"Language and Linguistics (Q1); Linguistics and Language (Q1)"
25;22738;Philosophy and Public Affairs;journal;10884963, 00483915;2,308;Q1;61;14;30;631;72;25;1,65;45,07;United Kingdom;Blackwell Publishing Inc.;1973-1982, 1984-1986, 1988-2001, 2003-ongoing;"History and Philosophy of Science (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)"
26;19900191537;International Theory: A Journal of International Politics, Law and Philosophy;journal;17529719;2,293;Q1;23;17;70;1439;202;70;1,79;84,65;United Kingdom;Cambridge University Press;2009-ongoing;"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)"
27;85519;Ethics;journal;1539297X, 00141704;2,283;Q1;65;31;167;1255;242;130;1,47;40,48;United States;University of Chicago Press;1973-1990, 1992-1993, 1996-ongoing;Philosophy (Q1)
28;22861;Political Psychology;journal;0162895X, 14679221;2,260;Q1;80;67;166;4570;667;163;3,52;68,21;United Kingdom;Blackwell Publishing Inc.;1996-ongoing;"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
29;17530;Social Forces;journal;15347605, 00377732;2,257;Q1;117;68;178;4129;457;175;2,34;60,72;United Kingdom;Oxford University Press;1974, 1977-ongoing;"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)"
30;23626;Science Education;journal;00368326, 1098237X;2,240;Q1;100;47;140;2897;428;137;2,59;61,64;United States;John Wiley & Sons Inc.;1916-1919, 1922-ongoing;"Education (Q1); History and Philosophy of Science (Q1)"
31;27069;Human Relations;journal;00187267;2,200;Q1;113;64;247;4597;943;236;3,41;71,83;United States;SAGE Publications;1947-ongoing;"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)"
32;17649;Communication Research;journal;00936502;2,171;Q1;89;47;143;2852;502;141;2,57;60,68;United States;SAGE Publications;1974-ongoing;"Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
33;19977;British Journal for the Philosophy of Science;journal;14643537, 00070882;2,161;Q1;46;43;109;1779;232;108;1,91;41,37;United Kingdom;Oxford University Press;1950-1985, 1987-ongoing;"History (Q1); History and Philosophy of Science (Q1); Philosophy (Q1)"
34;83061;Journal of Archaeological Research;journal;15737756, 10590161;2,159;Q1;50;10;28;3262;142;26;5,59;326,20;United States;Kluwer Academic/Plenum Publishers;1993-ongoing;"Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)"
35;23574;Public Opinion Quarterly;journal;0033362X, 15375331;2,145;Q1;94;53;132;1590;328;126;2,40;30,00;United Kingdom;Oxford University Press;1937-1965, 1967-1975, 1977-ongoing;"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
36;21754;Annals of the New York Academy of Sciences;journal;00778923;2,108;Q1;225;227;852;18517;4094;812;4,51;81,57;United States;Wiley-Blackwell;1824-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); History and Philosophy of Science (Q1); Neuroscience (miscellaneous) (Q1)"
37;24826;The Journal of Philosophy;journal;0022362X, 19398549;2,100;Q1;43;30;90;1040;87;84;0,58;34,67;United States;F.J.E. Woodbridge : W.T. Bush;1977, 1980, 1989-1990, 2002-ongoing;Philosophy (Q1)
38;146223;Behavior Research Methods;journal;15543528, 1554351X;2,099;Q1;114;175;337;7580;1390;323;3,26;43,31;Germany;Springer Verlag;1968-1983, 2004-ongoing;"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)"
