Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;34.638000000000005;Q1;134;2;16;184;1073;16;82.1;92,00;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;10.892;Q1;90;22;75;984;1628;70;23.21;44,73;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;9.323;Q1;182;425;1044;2471;8456;620;14.31;5,81;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
4;73008;Vital and health statistics. Series 2, Data evaluation and methods research;journal;00832057;5.78;Q1;23;4;14;80;95;14;1.8;20,00;United States;U.S. National Center for Health Statistics;1965, 1970, 1977-1982, 1985-1989, 1991-1994, 1996-2001, 2003-2006, 2008, 2010-ongoing;"Health Information Management (Q1); Medicine (miscellaneous) (Q1); Statistics and Probability (Q1)"
5;19799;American Journal of Sports Medicine;journal;03635465;3.949;Q1;196;419;1233;14398;7901;1074;6.57;34,36;United States;SAGE Publications;1973-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
6;20373;Sports Medicine;journal;01121642;3.367;Q1;159;205;451;15367;3310;372;7.76;74,96;United Kingdom;Adis International Ltd.;1984-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
7;19817;British Journal of Sports Medicine;journal;03063674, 14730480;3.232;Q1;141;411;1072;11250;5615;743;7.57;27,37;United Kingdom;BMJ Publishing Group;1974-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
8;21100853576;Bulletin of Faculty of Pharmacy, Cairo University;journal;11100931;3.075;Q1;1;0;1;0;18;1;0.0;0,00;Egypt;Faculty of Pharmacy, Cairo University;2014;"Pharmaceutical Science (Q1); Pharmacy (Q1)"
9;12198;Journal of Bone and Joint Surgery - Series A;journal;00219355;2.722;Q1;235;409;1271;11190;5341;1028;4.11;27,36;United States;Lippincott Williams & Wilkins Ltd.;1946-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
10;16101;Human Brain Mapping;journal;10659471, 10970193;2.664;Q1;171;427;1161;29885;6279;1157;5.1;69,99;United States;John Wiley & Sons Inc.;1993-ongoing;"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
11;28645;Ultrasound in Obstetrics and Gynecology;journal;09607692, 14690705;2.647;Q1;128;319;881;6778;3009;590;5.4;21,25;United States;John Wiley & Sons Inc.;1991-ongoing;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)"
12;14875;International Journal of Behavioral Nutrition and Physical Activity;journal;14795868;2.6260000000000003;Q1;95;176;455;9312;2704;448;5.89;52,91;United Kingdom;BioMed Central;2004-ongoing;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)"
13;21723;Journal of Shoulder and Elbow Surgery;journal;15326500, 10582746;2.327;Q1;123;369;987;10446;3283;940;3.21;28,31;United States;Mosby Inc.;1992-1993, 1995-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
14;23845;Journal of Cardiovascular Magnetic Resonance;journal;1532429X, 10976647;2.292;Q1;78;108;332;4142;1602;328;4.52;38,35;United Kingdom;BioMed Central;1999-ongoing;"Cardiology and Cardiovascular Medicine (Q1); Family Practice (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
15;38062;Exercise Immunology Review;journal;10775552;2.104;Q1;49;4;31;0;178;27;7.74;0,00;United States;Human Kinetics Publishers Inc.;1996-ongoing;"Immunology (Q1); Sports Science (Q1)"
16;19894;Medicine and Science in Sports and Exercise;journal;01959131;2.073;Q1;203;321;953;11544;4062;884;4.33;35,96;United States;Lippincott Williams & Wilkins Ltd.;1973-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
17;23478;Journal of Physiology;journal;00223751, 14697793;2.051;Q1;216;655;1518;30163;5418;1314;4.0;46,05;United Kingdom;Blackwell Publishing Inc.;1878-ongoing;"Physiology (Q1); Sports Science (Q1)"
18;21100241208;Bone and Joint Journal;journal;20494408, 20494394;2.043;Q1;164;284;1011;9549;3555;928;3.56;33,62;United Kingdom;British Editorial Society of Bone and Joint Surgery;2013-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
19;19842;Exercise and Sport Sciences Reviews;journal;15383008, 00916331;1.943;Q1;87;43;91;1439;374;69;5.59;33,47;United States;Lippincott Williams & Wilkins Ltd.;1973-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
20;17271;Medical Image Analysis;journal;13618415;1.928;Q1;113;148;334;8378;1938;293;6.68;56,61;Netherlands;Elsevier BV;1996-ongoing;"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
21;29603;Clinical Orthopaedics and Related Research;journal;15281132, 0009921X;1.908;Q1;185;540;1771;10690;5225;1502;2.96;19,80;United States;Springer New York LLC;1963-ongoing;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
22;16733;IEEE Transactions on Medical Imaging;journal;02780062;1.895;Q1;195;230;645;9162;4347;629;7.47;39,83;United States;Institute of Electrical and Electronics Engineers;1982-ongoing;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)"
23;19890;Knee Surgery, Sports Traumatology, Arthroscopy;journal;09422056, 14337347;1.845;Q1;109;548;1497;17699;5022;1407;3.27;32,30;Germany;Springer Verlag;1993-ongoing;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)"
24;14000156196;International Journal of Sports Physiology and Performance;journal;15550265, 15550273;1.749;Q1;49;238;500;6958;1610;472;3.31;29,24;United States;Human Kinetics Publishers Inc.;2006-ongoing;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
25;13068;Spine;journal;03622436;1.736;Q1;228;526;1664;14684;4840;1494;2.91;27,92;United States;Lippincott Williams & Wilkins Ltd.;1976-ongoing;"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
26;25545;Diabetes Technology and Therapeutics;journal;15209156;1.735;Q1;79;154;761;3622;1261;348;3.56;23,52;United States;Mary Ann Liebert Inc.;1999-ongoing;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1)"
27;13679;Ear and Hearing;journal;15384667, 01960202;1.735;Q1;95;120;374;4943;1152;357;3.11;41,19;United States;Lippincott Williams & Wilkins Ltd.;1980-ongoing;"Otorhinolaryngology (Q1); Speech and Hearing (Q1)"
28;19874;Journal of Science and Medicine in Sport;journal;14402440;1.714;Q1;85;232;463;6601;1845;436;4.11;28,45;Netherlands;Elsevier BV;1998-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
29;21100395924;Audiology and Neurotology Extra;journal;16645537;1.611;Q1;3;0;4;0;10;4;2.5;0,00;Switzerland;S. Karger AG;2015-ongoing;"Otorhinolaryngology (Q1); Physiology (Q1); Speech and Hearing (Q1)"
30;22609;Journal of Learning Disabilities;journal;00222194;1.578;Q1;79;63;136;3207;420;135;2.78;50,90;United States;SAGE Publications;1973-ongoing;"Education (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1)"
31;12218;Journal of Head Trauma Rehabilitation;journal;08859701, 1550509X;1.545;Q1;88;88;260;3946;976;246;3.28;44,84;United States;Lippincott Williams & Wilkins Ltd.;1987-ongoing;"Neurology (clinical) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
32;20346;Scandinavian Journal of Medicine and Science in Sports;journal;16000838, 09057188;1.541;Q1;97;225;612;9071;2293;589;3.7;40,32;United Kingdom;Blackwell Publishing Inc.;1991-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
33;16270;Archives of Physical Medicine and Rehabilitation;journal;1532821X, 00039993;1.501;Q1;169;311;1033;12745;3419;901;3.27;40,98;United Kingdom;W. B. Saunders Co., Ltd.;1945-ongoing;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q1)"
34;21100464901;Neurophotonics;journal;2329423X, 23294248;1.485;Q1;21;88;145;4795;543;129;3.78;54,49;United States;SPIE;2014-ongoing;"Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Neuroscience (miscellaneous) (Q2)"
35;12164;Brain and Language;journal;0093934X;1.472;Q1;110;112;269;7527;815;260;2.9;67,21;United States;Elsevier Inc.;1974-ongoing;"Experimental and Cognitive Psychology (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Speech and Hearing (Q1); Cognitive Neuroscience (Q2)"
36;23454;Journal of Applied Physiology;journal;87507587, 15221601;1.471;Q1;211;377;1229;15281;3343;984;3.16;40,53;United States;American Physiological Society;1948-1976, 1985-ongoing;"Medicine (miscellaneous) (Q1); Physiology (Q1); Physiology (medical) (Q1); Sports Science (Q1)"
37;21100853560;African Journal of Disability;journal;22267220, 22239170;1.463;Q1;5;0;7;0;35;6;5.83;0,00;South Africa;OpenJournals Publishing AOSIS (Pty) Ltd;2015;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
38;15222;Arthroscopy - Journal of Arthroscopic and Related Surgery;journal;07498063, 15263231;1.459;Q1;144;395;1112;9395;3232;900;3.28;23,78;United Kingdom;W. B. Saunders Co., Ltd.;1985-ongoing;"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)"
