Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;23340;Chemical Reviews;journal;15206890, 00092665;22.157;Q1;745;243;831;93641;46285;803;52.13;385.35;United States;Northern America;American Chemical Society;1924-2021;Chemistry (miscellaneous) (Q1)
2;17854;Nature Materials;journal;14764660, 14761122;16.524;Q1;507;243;794;6833;21547;644;24.98;28.12;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
3;23350;Chemical Society Reviews;journal;03060012, 14604744;16.116;Q1;552;313;949;65001;39979;921;37.87;207.67;United Kingdom;Western Europe;Royal Society of Chemistry;1972-2021;Chemistry (miscellaneous) (Q1)
4;21100826569;Nature Reviews Chemistry;journal;23973358;13.462;Q1;67;64;77;5046;1144;44;14.86;78.84;United Kingdom;Western Europe;Nature Publishing Group;2017-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
5;18100156701;Nature Chemistry;journal;17554330, 17554349;10.57;Q1;249;211;652;7091;10483;556;15.39;33.61;United Kingdom;Western Europe;Nature Publishing Group;2009-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)"
6;22657;Accounts of Chemical Research;journal;00014842, 15204898;9.466;Q1;415;330;934;16976;19072;914;19.69;51.44;United States;Northern America;American Chemical Society;1968-2021;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
7;22680;Journal of the American Chemical Society;journal;15205126, 00027863;7.468;Q1;644;2432;7374;132999;110923;7371;14.59;54.69;United States;Northern America;American Chemical Society;1879-2021;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
8;21100326898;Acta Crystallographica Section A: Foundations and Advances;journal;20532733;7.285;Q1;84;67;176;2303;3404;169;1.52;34.37;United States;Northern America;"John Wiley &amp; Sons Inc.";1998, 2014-2021;"Biochemistry (Q1); Condensed Matter Physics (Q1); Inorganic Chemistry (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Structural Biology (Q1)"
9;21100832985;ACS Energy Letters;journal;23808195;6.734;Q1;134;417;609;19175;8695;569;14.28;45.98;United States;Northern America;American Chemical Society;2016-2021;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
10;26465;Progress in Polymer Science;journal;00796700;6.365;Q1;296;61;150;16711;3789;147;25.59;273.95;United Kingdom;Western Europe;Elsevier Ltd.;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2021;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
11;17853;Nano Letters;journal;15306992, 15306984;6.211;Q1;511;1106;3551;49616;46361;3539;12.42;44.86;United States;Northern America;American Chemical Society;2001-2021;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
