Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;21100812243;Nature Reviews Materials;journal;20588437;34.171;Q1;61;99;195;8124;7297;104;70.16;82.06;United Kingdom;Nature Publishing Group;2016-ongoing;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
2;21100812579;Nature Energy;journal;20587546;16.918;Q1;61;218;313;6153;8231;221;37.24;28.22;United States;Springer Nature;2016-ongoing;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
3;17500155114;Energy and Environmental Sciences;journal;17545692;13.103;Q1;279;310;909;20739;28769;886;32.15;66.90;United Kingdom;Royal Society of Chemistry;2008-ongoing;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
4;21100199127;Advanced Energy Materials;journal;16146832, 16146840;8.9;Q1;156;839;1393;58493;29263;1343;22.04;69.72;Germany;Wiley-VCH Verlag;2011-ongoing;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
5;27538;Progress in Energy and Combustion Science;journal;03601285;7.508;Q1;161;38;65;10253;1912;63;29.58;269.82;United Kingdom;Elsevier Ltd.;1975-ongoing;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
6;21100832985;ACS Energy Letters;journal;23808195;6.734;Q1;49;406;614;18603;8329;570;14.61;45.82;United States;American Chemical Society;2016-ongoing;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
7;21100834904;Joule;journal;25424351;6.138;Q1;21;253;84;11823;1023;68;15.04;46.73;United States;Cell Press;2017-ongoing;Energy (miscellaneous) (Q1)
8;21100197947;Nano Energy;journal;22112855;5.308;Q1;112;809;1780;42659;27050;1777;15.2;52.73;Netherlands;Elsevier BV;2012-ongoing;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
9;21100420314;Energy Storage Materials;journal;24058297;4.787;Q1;35;281;177;18200;2602;162;15.97;64.77;Netherlands;Elsevier BV;2015-ongoing;"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
10;28801;Applied Energy;journal;03062619;3.455;Q1;162;1819;4530;101870;42891;4471;9.27;56.00;United Kingdom;Elsevier Ltd.;1975-ongoing;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1); Management, Monitoring, Policy and Law (Q1); Mechanical Engineering (Q1); Nuclear Energy and Engineering (Q1)"
11;21100232403;Journal of Materials Chemistry A;journal;20507488;3.372;Q1;152;2522;7629;143752;79934;7534;10.42;57.00;United Kingdom;Royal Society of Chemistry;2013-ongoing;"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
12;27567;Renewable and Sustainable Energy Reviews;journal;13640321;3.288;Q1;222;1140;3934;120562;47660;3871;12.02;105.76;Netherlands;Elsevier BV;1997-ongoing;Renewable Energy, Sustainability and the Environment (Q1)
13;19700201681;Environmental Innovation and Societal Transitions;journal;22104224;3.212;Q1;34;70;127;5201;1095;125;8.01;74.30;Netherlands;Elsevier BV;2011-ongoing;"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)"
14;28825;IEEE Transactions on Power Systems;journal;08858950;3.14;Q1;221;720;1394;19714;12350;1381;8.2;27.38;United States;Institute of Electrical and Electronics Engineers;1985-ongoing;"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
15;19700177027;IEEE Transactions on Sustainable Energy;journal;19493029;3.095;Q1;85;307;510;6036;5238;499;9.81;19.66;United States;Institute of Electrical and Electronics Engineers;2010-ongoing;Renewable Energy, Sustainability and the Environment (Q1)
16;19700188418;Annual Review of Chemical and Biomolecular Engineering;journal;19475438, 19475446;2.864;Q1;47;19;70;2302;615;68;9.75;121.16;United States;Annual Reviews Inc.;2010-ongoing;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
17;29372;Energy Conversion and Management;journal;01968904;2.73;Q1;163;1177;3189;56566;24941;3132;8.02;48.06;United Kingdom;Elsevier Ltd.;1979-ongoing;"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
18;5200152632;Environmental Research Letters;journal;17489326;2.71;Q1;97;573;1215;33213;7391;1172;5.98;57.96;United Kingdom;Institute of Physics Publishing;2006-ongoing;"Environmental Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
