Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
1;19434;MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control;journal;10575987, 15458601;48,894;Q1;134;3;12;559;1043;12;86,00;186,33;United States;Centers for Disease Control and Prevention (CDC);1990-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;18,375;Q1;90;14;56;851;1452;55;37,11;60,79;United States;Centers for Disease Control and Prevention (CDC);2002-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;17500155114;Energy and Environmental Sciences;journal;17545692;13,103;Q1;279;310;909;20739;28769;886;32,15;66,90;United Kingdom;Royal Society of Chemistry;2008-ongoing;"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
4;21100198409;Nature Climate Change;journal;17586798, 1758678X;8,612;Q1;136;295;835;9380;10627;549;18,45;31,80;United Kingdom;Nature Publishing Group;2011-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
5;110325;Annual Review of Ecology, Evolution, and Systematics;journal;1543592X;8,385;Q1;194;22;77;3165;1061;77;11,18;143,86;United States;Annual Reviews Inc.;2003-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
6;21100228100;Advances in Optics and Photonics;journal;19438206;7,732;Q1;51;12;44;2116;927;43;15,19;176,33;United States;The Optical Society;2009-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Water Science and Technology (Q1)"
7;110092;MMWR. Morbidity and mortality weekly report;journal;01492195, 1545861X;7,695;Q1;182;363;1171;2144;8568;679;14,40;5,91;United States;US Department of Health and Human Services;1981-ongoing;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
8;18567;Fungal Diversity;journal;15602745;7,501;Q1;80;24;77;5577;1136;75;15,09;232,38;Netherlands;Springer Netherlands;1998-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
9;21100788876;Chem;journal;24519308, 24519294;5,580;Q1;34;243;276;11050;2698;234;11,53;45,47;United States;Elsevier Inc.;2016-ongoing;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
10;21100831440;Nature Ecology and Evolution;journal;2397334X;5,212;Q1;24;356;334;15846;2299;228;10,08;44,51;United States;Nature Publishing Group;2016-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
11;144675;Frontiers in Ecology and the Environment;journal;15409295;4,454;Q1;135;123;377;2714;1932;181;10,47;22,07;United States;Wiley-Blackwell;2003-ongoing;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
12;36483;Global Environmental Change;journal;09593780;4,381;Q1;147;127;373;10427;3829;368;11,39;82,10;Netherlands;Elsevier BV;1990-ongoing;"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)"
13;15131;Global Change Biology;journal;13652486, 13541013;4,316;Q1;217;511;1157;38863;10538;1096;9,02;76,05;United Kingdom;Blackwell Publishing Inc.;1995-ongoing;"Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
