Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;17436;Nature Neuroscience;journal;10976256, 15461726;13.403;Q1;437;189;698;9173;11692;658;15.84;48.53;United Kingdom;Western Europe;Nature Publishing Group;1998-2021;Neuroscience (miscellaneous) (Q1)
2;17437;Nature Reviews Neuroscience;journal;14710048, 1471003X;11.585;Q1;434;156;416;8018;5330;253;10.63;51.4;United Kingdom;Western Europe;Nature Publishing Group;2000-2021;Neuroscience (miscellaneous) (Q1)
3;14181;Annual Review of Neuroscience;journal;0147006X, 15454126;10.219;Q1;248;24;76;3557;1128;76;11.51;148.21;United States;Northern America;Annual Reviews Inc.;1978-2021;Neuroscience (miscellaneous) (Q1)
4;17978;Neuron;journal;10974199, 08966273;9.612;Q1;493;414;1454;24903;17181;1433;10.57;60.15;United States;Northern America;Cell Press;1988-2021;Neuroscience (miscellaneous) (Q1)
5;17435;EMBO Journal;journal;02614189, 14602075;7.484;Q1;405;290;801;18179;7465;680;8.3;62.69;Germany;Western Europe;Wiley-Blackwell;1982-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
6;21100356804;Lancet Psychiatry,The;journal;22150374, 22150366;7.447;Q1;107;336;933;5499;4216;220;4.59;16.37;United Kingdom;Western Europe;Elsevier Ltd.;2014-2021;"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)"
7;17700156408;Nature Reviews Neurology;journal;17594766, 17594758;7.271;Q1;169;134;499;8180;4968;274;10.39;61.04;United Kingdom;Western Europe;Nature Publishing Group;2009-2021;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)"
8;15090;Progress in Retinal and Eye Research;journal;13509462, 18731635;7.198;Q1;164;41;129;10928;2495;129;18.74;266.54;United Kingdom;Western Europe;Elsevier Ltd.;1990-1991, 1993-2021;"Ophthalmology (Q1); Sensory Systems (Q1)"
9;17552;Acta Neuropathologica;journal;00016322, 14320533;7.183;Q1;184;148;420;7662;5238;330;11.49;51.77;Germany;Western Europe;Springer Verlag;1961-2021;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
10;15359;Trends in Cognitive Sciences;journal;1879307X, 13646613;6.857;Q1;326;120;348;8151;4017;292;11.01;67.93;United Kingdom;Western Europe;Elsevier Ltd.;1997-2021;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
11;3600148102;Alzheimer's and Dementia;journal;15525279, 15525260;6.713;Q1;135;163;448;8243;5857;413;13.46;50.57;United States;Northern America;"John Wiley &amp; Sons Inc.";2005-2021;"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)"
12;21100242814;eLife;journal;2050084X;5.879;Q1;161;2055;4467;142039;32144;4335;6.95;69.12;United Kingdom;Western Europe;eLife Sciences Publications;2012-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
