Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100812243;Nature Reviews Materials;journal;20588437;23.876;Q1;131;133;259;13153;10691;140;41.92;98.89;United Kingdom;Western Europe;Nature Publishing Group;2016-2021;"Biomaterials (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1)"
2;21100812579;Nature Energy;journal;20587546;16.736;Q1;160;204;632;6619;17706;377;25.73;32.45;United States;Northern America;Springer Nature;2016-2021;"Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
3;17854;Nature Materials;journal;14764660, 14761122;12.229;Q1;507;304;784;11394;19224;542;23.08;37.48;United Kingdom;Western Europe;Nature Publishing Group;2002-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
4;5200152704;Nature Nanotechnology;journal;17483387, 17483395;11.698;Q1;368;222;709;9453;16783;417;22.75;42.58;United Kingdom;Western Europe;Nature Publishing Group;2006-2021;"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
5;5700165152;Nature Photonics;journal;17494885;10.991;Q1;339;174;569;5637;11909;326;21.19;32.4;United Kingdom;Western Europe;Nature Publishing Group;2007-2021;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
6;19700188417;Annual Review of Condensed Matter Physics;journal;19475454, 19475462;9.438;Q1;70;14;69;1593;1431;69;23.93;113.79;United States;Northern America;Annual Reviews Inc.;2010-2021;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
7;17899;Progress in Materials Science;journal;18732208, 00796425;8.941;Q1;191;78;155;25157;7273;155;44.22;322.53;United Kingdom;Western Europe;Elsevier Ltd.;1961, 1963, 1968-1970, 1972-1974, 1976, 1978-1986, 1988-2021;Materials Science (miscellaneous) (Q1)
8;19881;Advanced Materials;journal;09359648, 15214095;8.663;Q1;563;1598;4287;142326;125214;4245;28.12;89.07;United States;Northern America;Wiley-Blackwell;1989-2021;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
9;21100884663;Nature Electronics;journal;25201131;8.302;Q1;61;172;481;5248;7110;268;13.56;30.51;United Kingdom;Western Europe;Nature Publishing Group;2018-2021;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Instrumentation (Q1)"
10;21100199127;Advanced Energy Materials;journal;16146832, 16146840;8.226;Q1;255;721;2140;68788;58901;2128;26.09;95.41;Germany;Western Europe;Wiley-VCH Verlag;2011-2021;"Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
11;21101047377;EnergyChem;journal;25897780;7.488;Q1;21;22;33;5483;1049;32;31.79;249.23;Netherlands;Western Europe;Elsevier BV;2019-2021;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)"
12;21100832985;ACS Energy Letters;journal;23808195;7.362;Q1;134;485;1260;26705;26064;1187;19.54;55.06;United States;Northern America;American Chemical Society;2016-2021;"Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
13;21101046230;Electrochemical Energy Reviews;journal;25208136;7.061;Q1;34;31;67;6199;1869;67;28.54;199.97;Germany;Western Europe;Springer Science and Business Media B.V.;2018-2021;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1)"
14;17814;Materials Science and Engineering: R: Reports;journal;0927796X;6.443;Q1;151;35;54;11743;1833;54;32.14;335.51;Netherlands;Western Europe;Elsevier BV;1993-2021;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
15;24769;Materials Today;journal;13697021;6.3;Q1;194;185;312;27564;7831;308;21.66;148.99;Netherlands;Western Europe;Elsevier;1999, 2002-2021;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
16;21100788876;Chem;journal;24519294;6.073;Q1;102;238;738;11688;12332;705;16.16;49.11;United States;Northern America;Elsevier Inc.;2016-2021;"Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1)"
17;26465;Progress in Polymer Science;journal;00796700;5.886;Q1;296;58;176;15687;5489;175;29.96;270.47;United Kingdom;Western Europe;Elsevier Ltd.;1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2021;"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)"
18;21100278313;Light: Science and Applications;journal;20477538;5.497;Q1;112;211;460;12282;8139;407;17.45;58.21;United Kingdom;Western Europe;Nature Publishing Group;2012-2021;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
19;23833;Cement and Concrete Research;journal;00088846;5.408;Q1;239;258;701;16349;9480;685;11.18;63.37;United Kingdom;Western Europe;Elsevier Ltd.;1971-2021;"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
20;25143;Advanced Functional Materials;journal;1616301X;5;Q1;349;2348;4595;177793;85979;4561;18.12;75.72;Germany;Western Europe;Wiley-VCH Verlag;2000-2021;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
21;21100200203;Wiley Interdisciplinary Reviews: Computational Molecular Science;journal;17590876, 17590884;4.903;Q1;86;74;118;12057;2680;117;9.54;162.93;United States;Northern America;"John Wiley &amp; Sons Inc.";2011-2021;"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
22;21100420314;Energy Storage Materials;journal;24058297;4.865;Q1;103;502;1153;45811;21897;1145;18.8;91.26;Netherlands;Western Europe;Elsevier BV;2015-2021;"Energy Engineering and Power Technology (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
23;26020;Digest of Technical Papers - IEEE International Solid-State Circuits Conference;conference and proceedings;01936530;4.793;-;106;257;655;1522;3983;619;6.14;5.92;United States;Northern America;Institute of Electrical and Electronics Engineers Inc.;1958-1964, 1966-1968, 1972-1973, 1975-1990, 1992-1998, 2000-2021;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials"
24;20497;Annual Review of Materials Research;book series;15317331, 15454118;4.712;Q1;166;23;49;3253;731;28;13.36;141.43;United States;Northern America;Annual Reviews Inc.;2003-2021;Materials Science (miscellaneous) (Q1)
25;21100197947;Nano Energy;journal;22112855;4.684;Q1;200;1073;2900;69535;51640;2899;17.25;64.8;Netherlands;Western Europe;Elsevier BV;2012-2021;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
26;11500153511;ACS Nano;journal;1936086X, 19360851;4.611;Q1;413;1820;4286;121240;73021;4172;16.24;66.62;United States;Northern America;American Chemical Society;2007-2021;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
27;21101045745;Carbon Energy;journal;26379368;4.527;Q1;24;54;55;4899;1041;54;18.93;90.72;United States;Northern America;"John Wiley &amp; Sons Inc.";2019-2021;"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
28;23470;Coordination Chemistry Reviews;journal;00108545;4.442;Q1;287;471;775;91652;16791;758;22.06;194.59;Netherlands;Western Europe;Elsevier;1966-2022;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
29;21100407195;Optica;journal;23342536;4.164;Q1;109;230;721;10285;8473;667;11.17;44.72;United States;Northern America;OSA Publishing;2014-2021;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
30;21100470165;Advanced Science;journal;21983844;3.984;Q1;128;939;1619;78026;26573;1616;15.62;83.09;Germany;Western Europe;Wiley-VCH Verlag;2014-2021;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemical Engineering (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
31;21100943502;Matter;journal;25902393, 25902385;3.972;Q1;42;316;478;16442;5442;441;11.38;52.03;United States;Northern America;Cell Press;2019-2021;Materials Science (miscellaneous) (Q1)
32;21100203115;Nano-Micro Letters;journal;23116706, 21505551;3.946;Q1;67;209;359;18278;6771;358;19.55;87.45;Netherlands;Western Europe;;2009-2021;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1); Surfaces, Coatings and Films (Q1)"
33;4700152457;Nano Today;journal;17480132;3.89;Q1;155;239;235;25984;4387;229;17.26;108.72;Netherlands;Western Europe;Elsevier;1970, 2006-2021;"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)"
34;17853;Nano Letters;journal;15306992, 15306984;3.761;Q1;511;1415;3439;63154;39982;3428;11.38;44.63;United States;Northern America;American Chemical Society;2001-2021;"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)"
35;21101030209;Energy and Environmental Materials;journal;25750348, 25750356;3.694;Q1;27;129;85;9162;1387;83;17.05;71.02;United States;Northern America;"John Wiley &amp; Sons Inc.";2018-2021;"Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1); Water Science and Technology (Q1)"
36;21100924211;Small Methods;journal;23669608;3.668;Q1;65;298;548;25740;7405;536;13.71;86.38;United Kingdom;Western Europe;John Wiley and Sons Ltd;2017-2021;"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
37;21100403931;Materials Horizons;journal;20516347, 20516355;3.667;Q1;95;289;602;22419;8156;581;13.6;77.57;United Kingdom;Western Europe;Royal Society of Chemistry;2014-2021;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Process Chemistry and Technology (Q1)"
38;12286;Surface Science Reports;journal;01675729, 1879274X;3.526;Q1;121;7;21;2043;259;21;13.5;291.86;Netherlands;Western Europe;Elsevier;1981-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)"
39;3200147828;Small;journal;16136829, 16136810;3.225;Q1;259;1324;3206;98612;42542;3188;13.08;74.48;Germany;Western Europe;Wiley-VCH Verlag;2005-2021;"Biomaterials (Q1); Biotechnology (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
40;7500153133;Laser and Photonics Reviews;journal;18638880, 18638899;3.172;Q1;124;196;317;13768;3735;308;11.14;70.24;Germany;Western Europe;Wiley-VCH Verlag;2007-2021;"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
41;21100924713;npj 2D Materials and Applications;journal;23977132;3.137;Q1;35;93;129;5323;1373;129;9.05;57.24;United Kingdom;Western Europe;Nature Publishing Group;2017-2021;"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
42;21100232403;Journal of Materials Chemistry A;journal;20507496, 20507488;3.099;Q1;240;2248;7473;163712;96516;7469;12.9;72.83;United Kingdom;Western Europe;Royal Society of Chemistry;2013-2021;"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
43;21119;International Materials Reviews;journal;09506608, 17432804;2.983;Q1;119;29;51;7010;954;51;18.18;241.72;United Kingdom;Western Europe;Maney Publishing;1987-2021;"Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1)"
44;21100850798;npj Computational Materials;journal;20573960;2.967;Q1;49;205;390;13046;4466;390;10.76;63.64;United Kingdom;Western Europe;Nature Publishing Group;2015-2021;"Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Modeling and Simulation (Q1)"
45;21100944562;ACS Materials Letters;journal;26394979;2.96;Q1;30;176;287;12533;2770;279;9.65;71.21;United States;Northern America;American Chemical Society;2019-2021;"Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
46;12878;Chemistry of Materials;journal;15205002, 08974756;2.93;Q1;393;945;3088;58052;29617;3041;9.38;61.43;United States;Northern America;American Chemical Society;1989-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)"
47;21101017370;npj Flexible Electronics;journal;23974621;2.899;Q1;29;33;83;1860;993;83;10.63;56.36;United Kingdom;Western Europe;Nature Publishing Group;2017-2021;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1)"
48;23811;Cement and Concrete Composites;journal;09589465;2.894;Q1;174;356;826;22409;8074;824;9.26;62.95;United Kingdom;Western Europe;Elsevier Ltd.;1989-2021;"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
49;21100406867;IUCrJ;journal;20522525;2.873;Q1;48;85;343;3668;1376;304;4.41;43.15;United Kingdom;Western Europe;International Union of Crystallography;2014-2021;"Biochemistry (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
50;28583;Acta Materialia;journal;13596454;2.828;Q1;316;797;2313;48534;20936;2312;8.51;60.9;United Kingdom;Western Europe;Elsevier Ltd.;1996-2021;"Ceramics and Composites (Q1); Electronic, Optical and Magnetic Materials (Q1); Metals and Alloys (Q1); Polymers and Plastics (Q1)"
51;21100349533;Additive Manufacturing;journal;22148604;2.825;Q1;89;693;1290;38292;16642;1289;11.31;55.26;Netherlands;Western Europe;Elsevier BV;2014-2021;"Biomedical Engineering (Q1); Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1)"
52;27130;Progress in Quantum Electronics;journal;00796727;2.78;Q1;66;17;30;2944;334;28;10.43;173.18;United Kingdom;Western Europe;Elsevier Ltd.;1969-1971, 1973-1977, 1979-1985, 1987-2021;"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Statistical and Nonlinear Physics (Q1)"
53;21117;International Journal of Plasticity;journal;07496419;2.725;Q1;150;144;533;11600;4173;530;7.79;80.56;United Kingdom;Western Europe;Elsevier Ltd.;1985-2021;"Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
54;21100943531;Materials Today Nano;journal;25888420;2.691;Q1;24;47;91;4560;1099;90;12.36;97.02;United Kingdom;Western Europe;Elsevier Ltd.;2018-2021;"Biomaterials (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1)"
55;28200;Biomaterials;journal;01429612, 18785905;2.678;Q1;397;699;1655;50103;23906;1653;14.4;71.68;United Kingdom;Western Europe;Elsevier BV;1980-2021;"Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Ceramics and Composites (Q1); Mechanics of Materials (Q1); Nanoscience and Nanotechnology (Q1)"
56;21100843857;Nanoscale Horizons;journal;20556764, 20556756;2.673;Q1;51;82;347;6041;3731;338;10.14;73.67;United Kingdom;Western Europe;Royal Society of Chemistry;2016-2021;Materials Science (miscellaneous) (Q1)
57;21100872127;npj Quantum Materials;journal;23974648;2.624;Q1;39;100;219;4857;1472;219;6.25;48.57;United Kingdom;Western Europe;Nature Publishing Group;2016-2021;"Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
